Annexure II-  Nifty 50 Index : April 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,59777.22,0.54,1.89,0.37,2.39,-0.63,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,89529.72,0.82,1.99,0.53,2.11,2.84,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,70295.82,0.64,0.53,0.14,1.14,5.45,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,109425,1,0.53,0.13,1,3.63,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6193408822,337699.23,3.08,1.1,0.44,2.17,7.53,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,88811.78,0.81,0.92,0.24,2.04,1.92,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1239757304,225182.14,2.05,1.06,0.37,1.78,-3.48,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,105888.53,0.96,1.11,0.41,2.19,-2.78,0.03
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,112189.06,1.02,1.8,0.46,2.11,4.24,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28510526595,498842.02,4.54,0.98,0.38,1.74,7.56,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615229882,86967.5,0.79,0.57,0.12,2.04,7.48,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,87277.81,0.8,1.3,0.41,1.66,-3.24,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834455365,72022.91,0.66,0.54,0.15,1.73,3.47,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274164080,76300.14,0.7,0.99,0.32,1.75,4.1,0.01
15,ETERNAL,Eternal Ltd.,E-RETAIL/ E-COMMERCE,9650350647,161102.79,1.47,0.92,0.11,1.98,15.28,0.03
16,GRASIM,Grasim Industries Ltd.,CEMENT,1360876778,104788.43,0.95,0.99,0.39,1.85,4.84,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,165813.16,1.51,0.79,0.22,2.56,-1.57,0.03
