Annexure II-  Nifty 50 Index : April 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1291893209,68824.38,0.63,1.68,0.44,2.26,36.93,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4607918196,121921.49,1.11,1.49,0.49,1.83,26.26,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,78360.80,0.71,0.74,0.25,1.05,2.93,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,110217.27,1.00,0.95,0.29,1.81,12.90,0.02
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6215441746,362884.54,3.31,1.19,0.46,2.19,9.21,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2794978380,110423.67,1.01,0.99,0.34,1.69,13.81,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,249961.39,2.28,1.41,0.43,1.99,16.90,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1600549988,100561.45,0.92,1.27,0.57,1.77,7.07,0.03
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,154046.65,1.40,0.81,0.16,1.46,7.65,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,30465519100,577507.84,5.26,0.67,0.24,1.00,5.86,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615561354,73470.84,0.67,0.54,0.14,1.55,6.98,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,109002.13,0.99,0.43,0.07,1.70,6.88,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834643020,80389.68,0.73,0.55,0.11,2.47,5.42,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274314204,97558.03,0.89,1.17,0.39,2.59,7.94,0.02
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,177445.16,1.62,1.41,0.29,2.11,7.88,0.02
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361048632,106089.64,0.97,1.17,0.51,1.42,9.26,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,126180.92,1.15,0.94,0.24,3.06,-10.62,0.03
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15391982634,1177735.08,10.73,1.14,0.67,1.91,5.49,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21576158500,62935.47,0.57,0.88,0.32,1.88,-0.63,0.02
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,149824.96,1.37,0.99,0.24,1.71,17.36,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,199187.59,1.81,0.64,0.19,1.77,9.52,0.02
22,ICICIBANK,ICICI Bank Ltd.,Private Sector Bank,14317797772,900697.27,8.21,0.92,0.44,1.83,4.77,0.02
23,ITC,ITC Ltd.,Diversified FMCG,12529229382,302661.33,2.76,0.66,0.20,1.22,9.45,0.03
24,INFY,Infosys Ltd.,Computers - Software & Consulting,20276955635,413190.66,3.76,0.85,0.19,2.27,-5.50,0.02
25,INDIGO,InterGlobe Aviation Ltd.,Airline,3866129980,96893.62,0.88,1.66,0.48,2.97,8.92,0.03
26,JSWSTEEL,JSW Steel Ltd.,Iron & Steel,2445453966,118225.15,1.08,1.25,0.45,1.34,12.65,0.03
27,JIOFIN,Jio Financial Services Ltd.,Investment Company,63531416230,80572.38,0.73,1.45,0.50,2.33,9.94,0.03
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,Private Sector Bank,9946457005,281395.88,2.56,0.98,0.38,1.54,8.46,0.02
29,LT,Larsen & Toubro Ltd.,Civil Construction,2751223058,469969.95,4.28,1.37,0.54,2.23,14.55,0.02
30,M&M,Mahindra & Mahindra Ltd.,Passenger Cars & Utility Vehicles,6217644155,276016.78,2.51,1.46,0.51,2.23,4.83,0.01
31,MARUTI,Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,1572012870,174211.53,1.59,1.07,0.37,2.07,8.19,0.02
32,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital,9731350410,73683.43,0.67,0.78,0.16,1.28,3.20,0.03
33,NTPC,NTPC Ltd.,Power Generation,96966661340,188700.60,1.72,0.69,0.25,1.22,7.69,0.03
34,NESTLEIND,Nestle India Ltd.,Packaged Foods,1928314320,104286.48,0.95,0.78,0.25,1.77,24.16,0.02
