Annexure II-  Nifty 50 Index : December 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,62874.24068,0.59293155,1.92887146,0.35941926,2.12775092,2.65919656,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,90622.30366,0.8546079,2.06029351,0.49581477,2.09037488,3.4494349,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,73770.83756,0.69569122,0.50883505,0.10476358,1.00378631,6.84517272,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,103045.8779,0.97176763,0.53170667,0.12877434,0.84133072,-7.99524117,0.01
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6189929264,303243.571,2.85971932,1.11449279,0.39614932,1.12119525,-6.30115286,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,97512.74627,0.91958779,0.68297783,0.11447072,1.08961499,-2.60193831,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1237992940,190726.3708,1.79863298,1.07736619,0.34665766,1.07210333,3.75766055,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,85648.95558,0.80770706,1.02827854,0.4188224,1.0561487,-0.75002373,0.03
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,104706.4352,0.98742742,1.76168868,0.41520979,1.36581825,-4.82142857,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,56529.29947,0.53309598,1.4053162,0.30505005,1.13436366,0.11982198,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28479165105,425286.9216,4.01064142,0.90106119,0.29070011,1.56341487,-2.42141167,0.02
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,56056.44506,0.52863676,0.37296337,0.05904052,0.91714154,-3.61049553,0.02
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615228080,83938.25244,0.79157438,0.3068655,0.02759867,1.20414371,-0.31944716,0.02
14,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,87017.30889,0.82061123,1.48965074,0.38199093,1.0990132,-7.74495677,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834410880,84575.14542,0.79758056,0.41757511,0.08214217,1.3365619,15.48698328,0.01
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274132460,66260.76432,0.62486795,0.82834862,0.22750401,0.77612736,-0.20592527,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1317019332,90648.71626,0.85485699,1.00476468,0.34330317,1.35177269,-6.27529976,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,202710.7463,1.91165087,0.67256356,0.17974801,0.92886232,3.7526041,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7647719799,1346386.744,12.69701504,0.99095047,0.38343245,0.92662612,-1.2917235,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21528028110,65868.33381,0.62116716,0.65755065,0.15575697,1.05781171,-6.18776131,0.01
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399999062,53864.33268,0.50796418,0.63687568,0.1218135,0.90801785,-12.62364282,0.01
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247226523,87462.77163,0.82481214,1.12342574,0.24211195,1.0876475,-8.19110027,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,206299.4902,1.9454943,0.30052931,0.04279562,1.06654045,-6.78244497,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14116039660,903163.6667,8.51722784,0.97010126,0.43428247,0.86266066,-1.41912161,0.02
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12511710392,449087.9214,4.23509524,0.63865038,0.21374197,0.92467317,1.44729942,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7790516730,63335.65211,0.59728286,1.24050523,0.30437727,1.3283542,-3.58487724,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20761345970,676324.7454,6.37803774,0.68986574,0.17780866,0.99092377,1.19223834,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,86400.44925,0.81479397,1.27607993,0.43287905,1.29492689,-6.67701863,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9940820750,261924.889,2.4700661,0.82730885,0.24429227,0.98200833,1.17830336,0.01
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2750261270,424153.2377,3.99995028,1.38949995,0.47718364,1.15028277,-3.14513531,0.03
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,265886.6552,2.50742729,1.2742719,0.32199223,1.26531309,1.3822865,0.02
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,142703.0994,1.34575255,0.83553279,0.26322022,0.91814773,-1.94867349,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,157639.472,1.48660907,1.52131636,0.45436629,1.17386348,-8.33218754,0.03
34,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,77616.91218,0.73196138,0.40082424,0.08545763,0.84433113,-2.89083302,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,92679.64374,0.87400952,1.73346168,0.42627037,1.21288481,-6.79781847,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,139655.2968,1.31701044,1.30594136,0.35459002,0.96142403,-6.28415301,0.02
37,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,1.35E+11,824042.569,7.77108133,1.21960292,0.5626725,1.04811966,-5.93948305,0.02
38,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10020450340,62139.91024,0.58600649,0.76613121,0.1912812,0.95414412,-3.29334029,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3760587770,80654.51466,0.7606073,1.53183905,0.38415179,1.78627085,-4.32169291,0.02
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924620034,305528.6797,2.88126889,1.43249419,0.46770285,1.10952628,-5.24465105,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,203356.1502,1.91773731,0.48378277,0.12409746,0.71031009,5.92116346,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,417933.4683,3.94129514,0.62692023,0.17402486,1.10496439,-4.12213026,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,989458618,59420.39314,0.56036026,0.69071259,0.15349713,1.29980399,-4.58457205,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7362249792,154947.6707,1.46122421,1.09722967,0.28193832,1.58019032,-5.8872147,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,114242.6562,1.07735814,1.41852303,0.44666178,0.91845582,-4.49010654,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4893489520,108168.4901,1.02007611,0.79753178,0.18264092,1.35927119,-0.35624598,0.02
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,134419.4662,1.26763428,0.74158264,0.19882501,1.15232134,0.12773161,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,157972.1015,1.48974591,1.03176127,0.1457821,1.54030562,4.8260588,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886980600,130146.5085,1.22733842,1.14058097,0.47509983,1.37991092,2.00140152,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,20935817276,85361.90795,0.80500007,1.04731106,0.27830854,1.10528297,4.47347928,0.03
,,,,,10603962.74,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2024 to 31-Dec-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-Dec-2024 to 31-Dec-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
