Annexure II-  Nifty 50 Index : December 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1154180729,58172.74109,0.4895059,1.61456202,0.38631579,1.3302127,-1.77615999,0.01
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4320277890,101419.7252,0.85341611,1.29967152,0.38228951,0.94225402,-3.10501681,0.02
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,72290.16512,0.60829973,0.7912925,0.20447546,0.86783549,-3.99427442,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,124881.1872,1.05083716,0.71362342,0.16965614,1.34907574,-3.64945728,0.01
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6208977028,362797.8554,3.05283348,1.09102722,0.36864826,1.29691053,-0.80487614,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2792576080,103297.5516,0.86921744,1.11580846,0.32488555,0.98837565,2.97018791,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,261274.7544,2.1985475,1.12381801,0.24802194,0.89787805,-4.88674699,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1597813220,116318.4429,0.97878428,1.21860917,0.33548359,0.90116572,-2.58357211,0.02
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,142727.6339,1.20100958,1.11201175,0.20243162,1.48731177,-2.95081967,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,28510526595,585081.5861,4.92328339,0.87233986,0.25838409,0.97026615,0.19033118,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615543596,84793.68677,0.71351306,0.9120524,0.28763896,0.7344048,-1.3060798,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,90345.21703,0.76022749,0.8569234,0.27544047,0.91765042,6.07470424,0.02
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834630355,77260.98774,0.65012769,0.78905939,0.20984283,0.7197109,1.00095329,0.01
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274299237,100372.2951,0.8446023,1.04357761,0.28136108,0.91916867,3.67193592,0.01
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,199214.2202,1.676327,1.49056661,0.21829399,1.67745808,-7.34755082,0.03
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361043468,107772.0862,0.90686929,1.08908917,0.37524813,0.61892516,3.27078922,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,170795.5699,1.43719271,1.1970066,0.30265301,1.02754995,-0.0554119,0.02
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15384577216,1512000.177,12.7230211,0.90201702,0.47253986,0.61967306,-1.62763001,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21576158500,80366.17174,0.67625686,0.85247696,0.23624992,0.82741616,-1.89061887,0.02
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,127929.5184,1.07648794,1.24910121,0.32171099,1.12503145,9.68579911,0.01
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,204955.3773,1.72463709,0.405780916,0.06947459,1.041779562,-4.551318246,0.02
22,ICICIBANK,ICICI Bank Ltd.,Private Sector Bank,14300383514,956519.7675,8.04882259,0.87432896,0.40617676,0.62065002,-3.30501152,0.02
23,ITC,ITC Ltd.,Diversified FMCG,12528764562,387288.0864,3.25891132,0.537733285,0.186517676,0.51515115,-0.30921459,0.02
24,INFY,Infosys Ltd.,Computers - Software & Consulting,20273122045,564271.3592,4.74817167,1.23629691,0.33679449,1.04703483,3.54464457,0.02
25,INDIGO,InterGlobe Aviation Ltd.,Airline,3865905980,114066.6089,0.95983578,0.633809084,0.212465694,2.21350568,-14.2675591,0.02
26,JSWSTEEL,JSW Steel Ltd.,Iron & Steel,2445453966,109124.116,0.91824621,1.26452238,0.38666727,1.68063153,0.38783073,0.03
27,JIOFIN,Jio Financial Services Ltd.,Investment Company,63531416230,96417.54725,0.8113243,1.67969198,0.4515021,1.05114238,-3.67406924,0.03
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,Private Sector Bank,9945492975,322803.7351,2.71629514,1.01231156,0.27453408,0.82247448,3.61043118,0.01
29,LT,Larsen & Toubro Ltd.,Civil Construction,2751161744,478229.1126,4.02415236,1.16622564,0.42018025,0.72779194,0.34155691,0.02
30,M&M,Mahindra & Mahindra Ltd.,Passenger Cars & Utility Vehicles,6217644155,330194.3715,2.77848509,1.29563351,0.32556538,0.96694788,-1.28017459,0.01
31,MARUTI,Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,1572012870,218489.0852,1.83851912,0.81571914,0.21564624,0.87245746,5.01257862,0.02
32,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital,9727693540,77503.13752,0.6521653,1.13150805,0.1634971,1.54935088,-10.12211902,0.03
33,NTPC,NTPC Ltd.,Power Generation,96966661340,155801.2495,1.31102007,1.02095496,0.33536263,0.6959765,0.94960943,0.02
34,NESTLEIND,Nestle India Ltd.,Packaged Foods,1928314320,92092.20544,0.77492787,0.73898409,0.19940255,0.89809537,2.13305844,0.03
35,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration & Production,62901396030,93115.26148,0.78353657,1.07120562,0.29606227,0.85652958,-1.17985612,0.01
36,POWERGRID,Power Grid Corporation of India Ltd.,Power - Transmission,93006038190,119515.54,1.00568688,1.06158423,0.30919013,0.93024768,-1.98184849,0.03
37,RELIANCE,Reliance Industries Ltd.,Refineries & Marketing,135324726340,1057378.035,8.8975142,1.14474331,0.47941534,0.75333157,0.18500797,0.01
38,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,10028298380,91092.13572,0.76651259,0.86805712,0.26857002,0.74688833,3.50457782,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,Non Banking Financial Company (NBFC),3762724202,139131.8216,1.17075191,1.72813617,0.35568087,1.73580761,16.97293489,0.02
40,SBIN,State Bank of India,Public Sector Bank,9230617586,406386.5824,3.41961935,0.8996904,0.34881906,0.8938793,0.32686415,0.01
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2399334970,181586.7219,1.52799697,0.72036748,0.17743672,0.90744697,-6.10941254,0.01
42,TCS,Tata Consultancy Services Ltd.,Computers - Software & Consulting,3618087518,326494.267,2.74734984,0.88234723,0.27102044,0.86801261,2.18964143,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,Tea & Coffee,989544308,77395.89789,0.65126291,0.77135121,0.17751485,0.94992782,1.67178437,0.02
44,TMPV,Tata Motors Passenger Vehicles Ltd.,Passenger Cars & Utility Vehicles,7365158764,76601.37083,0.64457721,1.29445438,0.522484558,1.04515977,2.95683857,0.02
45,TATASTEEL,Tata Steel Ltd.,Iron & Steel,12483527171,148432.4863,1.24901418,1.45399832,0.37860714,1.43086875,7.21600381,0.02
46,TECHM,Tech Mahindra Ltd.,Computers - Software & Consulting,4898606665,100717.5163,0.84750723,1.11287516,0.2932226,0.95568924,4.85072168,0.02
47,TITAN,Titan Company Ltd.,"Gems, Jewellery And Watches",887786160,166757.8842,1.40321682,0.74775114,0.17981643,0.99670351,3.67991402,0.02
48,TRENT,Trent Ltd.,Speciality Retail,355487461,94672.90214,0.79664364,1.47413015,0.20629595,1.3238455,0.67287785,0.01
49,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,2946791710,139304.8675,1.17220804,0.91265628,0.27794683,0.86096918,1.5862069,0.02
50,WIPRO,Wipro Ltd.,Computers - Software & Consulting,20973437508,74962.92409,0.63079018,1.07193699,0.2457317,1.01323877,5.51035948,0.02
51,DUMMYHDLVR,Dummy Hindustan Unilever Ltd.,Dairy Products,2349591262,94453568732,0.02993756,-,-,-,-,-
,,,,,94465449146,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2025 to 31-Dec-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
