Annexure II-  Nifty 50 Index : February 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,52116.51,0.53,1.97,0.36,1.87,-8.38,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,78719.43,0.79,2.07,0.51,1.83,-2.72,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,61195.72,0.62,0.55,0.12,1.72,-11.13,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,98456.73,0.99,0.56,0.14,1.34,-5.26,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6189929264,289244.87,2.92,1.08,0.39,0.92,2.99,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,87585.92,0.88,0.78,0.16,1.61,-10.68,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1237992940,238451.29,2.41,1.12,0.35,1.64,8.18,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,102264.23,1.03,1.10,0.40,1.70,7.85,0.03
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,87954.83,0.89,1.90,0.44,2.29,-15.86,0.03
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,45869.05,0.46,1.41,0.37,1.59,-9.12,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28479165105,420586.06,4.25,0.94,0.31,1.83,-3.45,0.02
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,54087.36,0.55,0.27,0.03,1.23,-10.41,0.02
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615228080,77268.21,0.78,0.48,0.08,1.33,-4.86,0.02
14,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,83664.83,0.84,1.42,0.41,1.54,-6.71,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834410880,68007.31,0.69,0.44,0.09,1.23,-8.28,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274132460,65597.04,0.66,0.93,0.25,2.23,-8.10,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1317019332,85599.89,0.86,1.03,0.38,1.08,-8.06,0.03
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,166516.93,1.68,0.66,0.15,1.32,-8.72,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7647719799,1315667.09,13.28,0.89,0.38,1.09,1.98,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21528028110,64955.65,0.66,0.71,0.18,1.03,-4.63,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399999062,47656.59,0.48,0.70,0.15,1.34,-15.17,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247226523,92093.96,0.93,1.12,0.28,1.73,6.74,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,194188.48,1.96,0.27,0.03,1.10,-11.28,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14116039660,848515.09,8.57,0.97,0.46,0.83,-3.89,0.02
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12511710392,366772.93,3.70,0.63,0.21,1.27,-11.73,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7790516730,65311.28,0.66,1.29,0.33,1.94,-0.11,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20761345970,607145.36,6.13,0.74,0.20,1.40,-10.22,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,91115.81,0.92,1.24,0.42,1.33,0.60,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9940820750,279068.32,2.82,0.85,0.23,1.22,0.09,0.01
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2750261270,371975.45,3.76,1.45,0.51,1.90,-11.31,0.02
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,228573.57,2.31,1.34,0.33,2.58,-13.54,0.02
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,156994.57,1.59,0.83,0.25,1.58,-2.96,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,147283.08,1.49,1.54,0.46,1.71,-3.87,0.03
34,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,78317.95,0.79,0.40,0.08,1.18,-5.34,0.03
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,87256.38,0.88,1.65,0.41,1.77,-14.23,0.03
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,113484.07,1.15,1.39,0.42,1.57,-16.84,0.04
37,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,135323728980,813635.68,8.21,1.17,0.57,1.03,-5.14,0.02
38,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10020450340,63932.06,0.65,0.72,0.18,1.23,-3.58,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3760587770,86163.81,0.87,1.60,0.39,2.44,13.53,0.03
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924620034,264731.31,2.67,1.45,0.52,1.03,-10.88,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,171758.79,1.73,0.56,0.16,1.48,-8.64,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,355515.96,3.59,0.65,0.18,1.11,-15.30,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,989458618,62603.51,0.63,0.65,0.13,1.72,-5.95,0.02
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,7362249792,129930.79,1.31,1.21,0.31,1.67,-13.33,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,113539.24,1.15,1.42,0.44,1.89,1.92,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4893489520,94325.69,0.95,0.84,0.21,1.73,-11.14,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,127151.32,1.28,0.79,0.21,1.50,-11.83,0.02
48,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,107591.17,1.09,1.11,0.18,3.31,-15.67,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886980600,115363.38,1.16,1.18,0.44,1.80,-11.83,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,20935817276,78518.25,0.79,1.05,0.27,1.91,-10.98,0.02
51,ITCHOTELS,ITC Hotels Ltd.,HOTELS & RESORTS,1251171039,15130.54,0.14,-,-,-,-,-
,,,,,9919453.34,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2024 to 28-Feb-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2025 to 28-Feb-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
