Annexure II-  Nifty 50 Index : February 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1154180729,56149.41,0.49,1.86,0.45,2.91,7.00,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4607918196,111894.40,0.98,1.51,0.43,2.82,7.13,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,80286.48,0.70,0.74,0.20,0.97,12.37,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,107146.66,0.94,0.65,0.13,1.22,-2.15,0.02
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6208977028,395522.26,3.46,1.14,0.39,1.36,0.99,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2792576080,110257.39,0.96,1.03,0.30,1.23,3.91,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,263684.16,2.30,1.09,0.25,1.98,7.10,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1597813220,113666.94,0.99,1.19,0.39,1.37,2.09,0.03
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,158836.28,1.39,0.95,0.17,1.85,-0.96,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,28510526595,522199.76,4.56,0.90,0.30,1.36,-4.54,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615543596,75642.72,0.66,0.82,0.23,0.94,1.83,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,97511.70,0.85,0.95,0.28,1.69,-2.29,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834630355,78166.44,0.68,0.87,0.24,1.62,5.60,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274299237,109953.13,0.96,0.92,0.26,2.04,12.47,0.01
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,176466.33,1.54,1.31,0.20,2.51,-9.98,0.03
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361043468,106659.70,0.93,1.09,0.39,1.45,-0.68,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,146154.21,1.28,1.20,0.33,2.09,-18.08,0.03
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15384577216,1354195.07,11.83,0.91,0.50,1.07,-4.47,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21576158500,76663.23,0.67,0.80,0.24,1.32,-2.15,0.02
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,133412.01,1.17,1.41,0.36,2.40,-3.94,0.02
