Annexure II-  Nifty 50 Index : January 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877871730,13271.86,0.42,0.98,0.36,1.38,6.19,0.03
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522,24908.06,0.79,1.61,0.32,2.07,9.28,0.04
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,17737.67,0.56,1.1,0.36,1.52,11.03,0.03
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,43761.38,1.39,0.8,0.21,1.01,8.94,0.03
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585169586,18352.56,0.58,1.25,0.27,1.55,1.87,0.03
6,AXISBANK,Axis Bank Ltd.,BANKS,4781660676,79103.01,2.51,1.29,0.37,2.1,3.57,0.02
7,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,38535.63,1.22,0.86,0.31,1.17,7.65,0.03
8,BANKBARODA,Bank of Baroda,BANKS,4608319196,15601.81,0.49,1.64,0.27,1.92,7.66,0.03
9,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,12411.41,0.39,1.5,0.28,1.78,13.08,0.03
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,14461684960,35488.11,1.13,0.8,0.16,1.71,7.26,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,45932.53,1.46,0.7,0.13,2.03,13.92,0.03
12,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18966670690,15602.74,0.49,0.62,0.06,2.98,-14.46,0.03
13,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,20151.55,0.64,1,0.28,1.65,5.13,0.04
14,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1608431328,29150.45,0.92,0.63,0.14,0.92,1.15,0.03
15,COALINDIA,Coal India Ltd.,MINING,63163644000,39060.4,1.24,0.77,0.19,1.68,3.07,0.03
16,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853941445,37637.03,1.19,0.56,0.1,1.02,-1.36,0.02
17,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272035830,30696.36,0.97,0.89,0.18,1.26,5.62,0.02
18,GAIL,GAIL (India) Ltd.,GAS,12684774000,21971.99,0.7,0.84,0.21,1.67,6.59,0.02
19,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,933568120,29327.09,0.93,0.98,0.29,2.03,5.54,0.03
20,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2822247668,45785.32,1.45,0.67,0.15,1.69,-2.03,0.03
21,HDFCBANK,HDFC Bank Ltd.,BANKS,5098540634,259121.47,8.22,0.75,0.5,0.83,6.67,0.03
22,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399382928,40543.44,1.29,1,0.34,1.36,4.23,0.02
23,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2065997334,24331.04,0.77,1.85,0.35,2.45,22.51,0.02
24,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164274684,61093.58,1.94,0.58,0.18,1.04,3.52,0.02
25,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3169084920,216424.73,6.87,1.04,0.38,1.57,8.18,0.02
26,ITC,I T C Ltd.,CIGARETTES,12115054002,218882.68,6.94,1.03,0.33,1.26,6.81,0.03
27,ICICIBANK,ICICI Bank Ltd.,BANKS,11639284770,156519.28,4.97,1.68,0.46,1.52,5.35,0.03
28,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,36011323270,13876.96,0.44,0.73,0.05,6.21,48.48,0.05
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5970823230,62796.46,1.99,1.02,0.38,1.66,13.01,0.03
30,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484723320,185566.02,5.89,0.75,0.22,1.27,-8.11,0.02
31,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9189657405,92484.25,2.93,0.88,0.34,1.87,7.57,0.02
32,LT,Larsen & Toubro Ltd.,ENGINEERING,1864306832,118635.17,3.76,1.33,0.43,1.17,7.2,0.03
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,902486034,35173.08,1.12,0.82,0.14,1.24,-1.09,0.02
34,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,57766.25,1.83,0.96,0.32,1.33,4.68,0.03
35,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,78343.56,2.49,1.21,0.4,1.01,10.8,0.02
36,NTPC,NTPC Ltd.,POWER,82454644000,42633.17,1.35,0.81,0.22,1.87,4.61,0.03
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900,54586.81,1.73,0.79,0.16,1.3,5.85,0.03
38,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,45527.39,1.44,0.76,0.24,1.36,12.92,0.03
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32433750390,172888.76,5.48,0.75,0.3,1.15,-3.44,0.02
40,SBIN,State Bank of India,BANKS,7762777042,80841.56,2.56,1.61,0.4,1.36,4.06,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2406753959,68393.93,2.17,0.7,0.15,1.02,0.24,0.02
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1970427941,118628.83,3.76,0.75,0.21,1.57,-5.74,0.02
43,TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILES - 4 WHEELERS,1016953408,16929.73,0.54,1.58,0.37,1.7,11.32,0.03
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774407204,101276.89,3.21,1.81,0.45,1.63,10.92,0.02
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398,14460.57,0.46,1.03,0.31,1.3,5.14,0.05
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,31030.77,0.98,1.68,0.39,1.78,18.35,0.02
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4862065345,28142.41,0.89,1.06,0.28,1.59,-7.51,0.03
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744534390,38530.27,1.22,1.1,0.36,1.65,13.67,0.03
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4941709020,29422.94,0.93,0.59,0.2,1.04,-3.47,0.03
50,YESBANK,Yes Bank Ltd.,BANKS,4225676430,46012.55,1.46,1.33,0.4,1.62,20.71,0.02
51,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,26778.8,0.85,1.11,0.27,1.55,7.97,0.03
,,,,,3152130.32,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-February-2017 to 31-January-2017,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-January-2016 to 31-January-2017,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-January-2017,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
