Annexure II-  Nifty 50 Index : January 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1154180729,52476.76,0.46,1.66,0.37,3.01,-9.79,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4607918196,104449.48,0.91,1.34,0.37,2.30,-3.40,0.02
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,71448.45,0.62,0.86,0.23,1.47,-1.16,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,109495.93,0.95,0.65,0.12,1.87,-12.32,0.01
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6208977028,391663.92,3.40,1.13,0.37,1.66,7.96,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2792576080,106111.34,0.92,1.10,0.30,1.24,2.72,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,246196.12,2.14,1.04,0.22,1.36,-5.77,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1597813220,111340.45,0.97,1.17,0.34,1.08,-4.28,0.02
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,160372.14,1.39,1.00,0.16,2.37,12.36,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,28510526595,547041.28,4.75,0.90,0.27,0.61,-6.50,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615543596,74284.95,0.64,0.91,0.25,1.40,-12.39,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,99798.63,0.87,0.91,0.25,2.47,10.46,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834630355,74022.03,0.64,0.79,0.20,1.59,-4.19,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274299237,97764.33,0.85,0.94,0.25,1.11,-2.60,0.01
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,196025.93,1.70,1.31,0.18,2.91,-1.60,0.03
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361043468,107391.13,0.93,1.05,0.36,1.29,-0.35,0.01
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,178402.62,1.55,1.26,0.37,1.02,4.45,0.02
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15384577216,1417500.17,12.30,0.87,0.43,0.89,-6.25,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21576158500,78345.90,0.68,0.83,0.25,1.08,-2.51,0.02
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,138880.07,1.21,1.30,0.31,2.27,8.56,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,210008.68,1.82,0.44,0.08,1.11,2.47,0.02
