Annexure II-  Nifty 50 Index : July 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,83101.75,0.75,2.08,0.40,1.22,-0.24,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,115300.87,1.05,2.09,0.43,1.30,6.21,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,66582.50,0.60,0.58,0.11,1.23,6.95,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,139054.09,1.26,0.55,0.15,1.19,5.74,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6180089114,331503.69,3.01,1.13,0.36,1.36,-7.84,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2791797560,107921.96,0.98,0.51,0.08,1.17,1.71,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1237992640,189606.47,1.72,1.09,0.32,1.31,-4.34,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,89662.32,0.81,0.97,0.35,1.05,4.00,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,68341.22,0.62,1.46,0.29,1.84,15.17,0.03
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28454365745,398946.43,3.62,0.88,0.27,1.40,3.29,0.02
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,68271.24,0.62,0.28,0.04,0.97,5.64,0.02
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615035998,81058.25,0.73,0.29,0.02,1.39,4.29,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,119072.54,1.08,1.55,0.32,1.38,10.37,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,62733.84,0.57,0.59,0.11,1.71,7.11,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834148505,82211.42,0.75,0.43,0.08,0.95,5.44,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274010515,67991.60,0.62,0.80,0.19,0.90,6.20,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316958452,102392.20,0.93,0.96,0.32,1.14,3.98,0.02
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,173841.19,1.58,0.64,0.14,1.20,12.54,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7608122302,1216989.54,11.03,1.05,0.41,1.44,-4.04,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21509441270,75411.03,0.68,0.62,0.13,1.43,20.24,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399862220,71325.27,0.65,0.60,0.09,0.95,-1.63,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523,97807.85,0.89,1.10,0.22,1.51,-3.45,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,241572.52,2.19,0.21,0.02,1.03,9.41,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14072233536,854817.83,7.75,1.01,0.44,1.00,1.28,0.03
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12484721472,457638.70,4.15,0.67,0.21,1.53,16.58,0.02
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7787195050,94507.74,0.86,1.34,0.45,0.99,-2.51,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20759476475,674839.72,6.12,0.72,0.19,1.15,19.24,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,88529.71,0.80,1.38,0.49,1.52,-0.35,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9939756490,265957.27,2.41,0.89,0.26,1.44,0.30,0.01
30,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296163369,51947.84,0.47,0.67,0.12,1.45,5.07,0.03
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2749696208,445828.87,4.04,1.41,0.46,1.39,7.51,0.02
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,282042.78,2.56,1.13,0.25,1.94,1.44,0.02
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,173192.93,1.57,0.70,0.20,1.58,8.99,0.03
34,NTPC,NTPC Ltd.,POWER,96966661340,197656.84,1.79,1.66,0.45,1.69,9.95,0.03
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160,87627.38,0.79,0.30,0.04,0.87,-3.73,0.03
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030,130334.21,1.18,1.72,0.41,2.14,21.88,0.03
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190,158685.04,1.44,1.27,0.29,1.11,5.21,0.03
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67658139260,1018542.54,9.23,1.16,0.51,1.15,-3.83,0.02
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10015194550,79034.16,0.72,0.83,0.22,1.60,17.54,0.03
40,SHRIRAMFIN,Shriram Finance Ltd.,NBFC,3759116080,81559.40,0.74,1.52,0.34,2.58,0.70,0.03
41,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934,334790.75,3.04,1.47,0.46,1.26,2.76,0.02
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,185638.35,1.68,0.51,0.12,1.15,13.05,0.02
43,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3618087518,444264.24,4.03,0.56,0.13,1.70,12.33,0.02
44,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,989482309,77645.37,0.70,0.51,0.09,1.59,9.68,0.02
45,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6647957824,203768.05,1.85,0.98,0.23,1.93,16.86,0.02
46,TATASTEEL,Tata Steel Ltd.,STEEL,12483527171,136217.50,1.23,1.54,0.48,1.57,-4.99,0.02
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4889411805,98801.32,0.90,0.84,0.19,1.37,8.67,0.03
48,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,144327.97,1.31,0.69,0.16,1.98,1.61,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886973180,137272.11,1.24,1.11,0.40,1.33,1.88,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10459888156,73710.83,0.67,1.04,0.25,2.64,1.39,0.02
,,,,,11029879.24,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2023 to 31-Jul-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2023 to 31-Jul-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
