Annexure II-  Nifty 50 Index : June 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,83304.95,0.78,2.04,0.39,4.98,-6.87,0.08
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,108558.65,1.02,2.08,0.42,5.81,2.83,0.10
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,62258.61,0.59,0.53,0.09,0.89,5.93,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,131507.31,1.24,0.57,0.16,1.16,1.24,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6180089114,359690.46,3.39,1.13,0.37,2.69,8.87,0.03
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2791797560,106106.73,1.00,0.48,0.06,1.43,4.59,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1237992640,198202.47,1.87,1.05,0.28,2.24,6.24,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,86215.12,0.81,0.95,0.32,1.87,3.90,0.04
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,59340.99,0.56,1.47,0.30,3.57,-3.17,0.03
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28454365745,386241.55,3.64,0.81,0.25,2.36,5.19,0.03
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,64625.43,0.61,0.30,0.04,1.18,5.71,0.03
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615035998,77725.22,0.73,0.21,0.01,1.21,2.32,0.02
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,107888.11,1.02,1.52,0.31,3.65,-3.67,0.17
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,58570.23,0.55,0.53,0.09,1.43,6.72,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834148505,77971.46,0.73,0.45,0.08,1.22,10.54,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274010515,64021.87,0.60,0.77,0.16,1.62,-1.28,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316958452,98472.41,0.93,0.98,0.34,1.78,15.29,0.03
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,154473.76,1.46,0.64,0.13,1.30,10.23,0.03
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7608122302,1268245.08,11.95,1.07,0.44,2.00,9.94,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21509441270,62716.05,0.59,0.57,0.12,1.49,8.22,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399862220,72509.82,0.68,0.57,0.08,2.04,8.99,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523,101306.21,0.95,1.07,0.21,2.56,0.61,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,220804.95,2.08,0.24,0.03,1.90,6.18,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14072233536,844052.57,7.95,1.02,0.45,2.31,7.01,0.03
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12484721472,392552.10,3.70,0.70,0.23,1.33,-0.36,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7787195050,96936.95,0.91,1.34,0.44,3.12,0.18,0.03
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20759476475,565933.43,5.33,0.78,0.19,1.48,11.36,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,88839.67,0.84,1.33,0.46,2.53,5.79,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9939756490,265162.88,2.50,0.88,0.26,1.83,7.27,0.02
30,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296163369,49440.49,0.47,0.65,0.11,1.47,14.53,0.04
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2749696208,414679.28,3.91,1.38,0.45,3.46,-3.29,0.03
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,278051.43,2.62,1.09,0.23,2.72,14.38,0.02
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,158905.88,1.50,0.67,0.19,1.30,-2.95,0.03
