Annexure II-  Nifty 50 Index : June 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1300905023,87364.39,0.80,1.69,0.40,1.80,3.36,0.01
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4607918196,133171.87,1.22,1.51,0.50,1.26,0.31,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,89096.66,0.82,0.62,0.17,0.82,6.18,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,118860.07,1.09,0.98,0.29,1.02,-1.34,0.01
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6220799348,385392.16,3.54,1.17,0.43,1.19,4.59,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2794978380,107306.70,0.98,0.95,0.31,1.04,-7.11,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6225954304,268542.29,2.46,1.52,0.46,1.82,10.62,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1600549988,102771.37,0.94,1.31,0.57,1.46,-0.19,0.03
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,147081.87,1.35,0.94,0.22,1.30,0.26,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,30466396920,561592.52,5.15,0.68,0.21,1.04,1.26,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615690632,82225.05,0.75,0.59,0.13,1.28,4.60,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,104871.73,0.96,0.29,0.03,1.50,-4.12,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834669070,82494.87,0.76,0.57,0.10,0.97,4.11,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274497530,97211.06,0.89,1.28,0.39,1.69,-1.44,0.02
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,190758.19,1.75,1.39,0.28,1.93,5.60,0.03
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361049364,116638.72,1.07,1.10,0.45,0.83,-0.72,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,112682.22,1.03,0.77,0.15,1.97,-9.46,0.03
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15400809456,1218501.20,11.18,1.23,0.66,1.29,7.17,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21579510750,61773.93,0.57,0.90,0.30,1.51,-3.19,0.02
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,138118.67,1.27,0.89,0.17,1.64,-15.10,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,187397.86,1.72,0.61,0.15,1.29,-1.64,0.02
22,ICICIBANK,ICICI Bank Ltd.,Private Sector Bank,14347009720,982394.57,9.01,0.91,0.40,1.13,9.46,0.02
23,ITC,ITC Ltd.,Diversified FMCG,12529468232,275836.66,2.53,0.59,0.15,1.04,0.02,0.03
24,INFY,Infosys Ltd.,Computers - Software & Consulting,20286279525,349909.04,3.21,0.68,0.10,2.78,-13.83,0.02
25,INDIGO,InterGlobe Aviation Ltd.,Airline,3866574980,121176.47,1.11,1.76,0.49,2.24,21.87,0.03
26,JSWSTEEL,JSW Steel Ltd.,Iron & Steel,2445453966,114707.66,1.05,1.18,0.43,1.13,-4.04,0.03
27,JIOFIN,Jio Financial Services Ltd.,Investment Company,66031416230,77361.18,0.71,1.51,0.55,1.53,-1.05,0.03
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,Private Sector Bank,9946508970,287987.05,2.64,1.05,0.41,1.26,2.10,0.02
29,LT,Larsen & Toubro Ltd.,Civil Construction,2751458356,483602.94,4.44,1.45,0.55,1.49,1.64,0.02
30,M&M,Mahindra & Mahindra Ltd.,Passenger Cars & Utility Vehicles,6217644155,273209.77,2.51,1.50,0.50,1.67,0.76,0.01
31,MARUTI,Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,1572012870,183622.53,1.68,1.10,0.34,1.83,7.53,0.02
32,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital,9732437890,83807.83,0.77,0.70,0.12,1.95,17.01,0.03
33,NTPC,NTPC Ltd.,Power Generation,96966661340,168609.16,1.55,0.56,0.15,1.33,-7.82,0.03
34,NESTLEIND,Nestle India Ltd.,Packaged Foods,1928314320,100472.57,0.92,0.63,0.16,1.26,-1.15,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration & Production,62901396030,90991.60,0.83,0.11,0.00,1.24,-11.49,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,Power - Transmission,93006038190,129289.92,1.19,0.55,0.12,1.02,-1.46,0.03
37,RELIANCE,Reliance Industries Ltd.,Refineries & Marketing,135325387220,871666.96,8.00,0.92,0.34,1.08,-2.07,0.02
38,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,10031715410,79114.76,0.73,0.82,0.29,1.17,-3.52,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,Non Banking Financial Company (NBFC),4705661136,145543.01,1.34,1.92,0.51,2.33,10.03,0.02
40,SBIN,State Bank of India,Public Sector Bank,9230617586,423276.49,3.88,1.08,0.39,1.00,6.48,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2399334970,196664.38,1.80,0.53,0.13,0.55,3.52,0.02
42,TCS,Tata Consultancy Services Ltd.,Computers - Software & Consulting,3618087518,206831.60,1.90,0.79,0.17,2.81,-10.07,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,Tea & Coffee,989645268,69849.60,0.64,0.60,0.12,1.51,-8.72,0.02
44,TMPV,Tata Motors Passenger Vehicles Ltd.,Passenger Cars & Utility Vehicles,7365661822,73401.59,0.67,1.51,0.40,2.41,-10.59,0.02
45,TATASTEEL,Tata Steel Ltd.,Iron & Steel,12483527171,155017.11,1.42,1.17,0.31,1.09,-9.60,0.02
46,TECHM,Tech Mahindra Ltd.,Computers - Software & Consulting,4900289790,88961.27,0.82,0.60,0.09,2.22,-5.34,0.03
47,TITAN,Titan Company Ltd.,"Gems, Jewellery And Watches",887786160,181317.45,1.66,1.01,0.31,1.69,8.08,0.02
48,TRENT,Trent Ltd.,Speciality Retail,533251981,108924.91,1.00,1.30,0.26,2.30,16.57,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,2946791710,132791.87,1.22,1.29,0.55,1.23,-1.99,0.02
50,WIPRO,Wipro Ltd.,Computers - Software & Consulting,21007099594,48751.96,0.45,0.72,0.14,2.22,-16.58,0.02
,,,,,10898945.34,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2025 to 30-Jun-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jun-2026 to 30-Jun-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs. Impact Cost for NIFTY 50 is the weightage average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 30-Jun-2026,,,,,,,,,,,
