Annexure II-  Nifty 50 Index : March 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1154180729,45677.03,0.45,1.70,0.47,2.08,-18.64,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4607918196,96563.17,0.95,1.48,0.49,2.48,-13.70,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,76128.96,0.75,0.75,0.26,1.65,-5.15,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,97624.23,0.96,0.77,0.22,2.16,-8.88,0.02
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6215441746,332269.82,3.26,1.18,0.47,2.15,-16.08,0.03
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2794978380,97026.76,0.95,1.11,0.42,2.26,-11.94,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,213827.69,2.09,1.26,0.36,2.90,-19.52,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1600549988,93919.52,0.92,1.23,0.51,2.11,-18.14,0.03
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,143099.45,1.40,0.91,0.20,2.15,-9.91,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,30465519100,545553.30,5.34,0.79,0.30,1.54,-5.16,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615561354,68679.75,0.67,0.71,0.23,1.28,-9.20,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,101983.61,1.00,0.67,0.17,2.06,4.60,0.04
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834643020,76257.48,0.75,0.83,0.28,1.68,-2.44,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274314204,90380.81,0.89,1.09,0.39,2.66,-17.78,0.02
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,164479.59,1.61,1.35,0.27,2.89,-7.03,0.03
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361048632,97099.83,0.95,1.18,0.50,2.35,-8.65,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,141176.15,1.38,0.96,0.28,1.45,-3.42,0.03
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15391982634,1116459.89,10.94,1.04,0.62,2.30,-17.60,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21576158500,63332.24,0.62,0.88,0.34,1.90,-17.43,0.02
