Annexure II-  Nifty 50 Index : May 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1154180729,65455.45,0.59,1.84,0.39,2.69,9.5,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,105448.56,0.94,1.9,0.52,2.05,17.78,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,69323.55,0.62,0.55,0.16,1.22,-1.38,0.01
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,101909.56,0.91,0.53,0.15,1.36,-6.87,0.01
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6193408822,339751.07,3.04,1.1,0.46,1.31,0.61,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,95193.4,0.85,0.95,0.26,2.08,7.19,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1239757304,239421.46,2.14,1.06,0.38,1.57,6.32,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,109458.66,0.98,1.12,0.42,1.56,3.37,0.03
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,137369.99,1.23,1.65,0.42,1.82,22.45,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28510526595,496621.38,4.45,0.94,0.37,1.22,-0.45,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615229882,82232.28,0.74,0.57,0.14,1.21,-5.44,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,89996.03,0.81,1.25,0.45,1.16,3.11,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834455365,76117.13,0.68,0.54,0.17,0.99,5.68,0.02
14,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274164080,73099.84,0.65,0.99,0.34,1.38,-4.19,0.02
15,ETERNAL,Eternal Ltd.,E-RETAIL/ E-COMMERCE,9650350647,165114.42,1.48,1.02,0.14,2.82,2.49,0.02
16,GRASIM,Grasim Industries Ltd.,CEMENT,1360876778,97450.37,0.87,1.02,0.42,1.59,-7,0.02
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,173122.69,1.55,0.89,0.27,1.98,4.41,0.02
18,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7651920290,1475537.86,13.21,0.89,0.44,1.15,1.03,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21528932870,82942.56,0.74,0.71,0.21,1.42,4.46,0.02
20,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,400021672,55787,0.5,0.76,0.2,1.99,12.59,0.02
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247226523,91471.02,0.82,1.26,0.38,1.67,1.42,0.02
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,207847.58,1.86,0.28,0.05,1.05,0.26,0.02
23,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14131839426,1017732.12,9.11,0.98,0.54,1.33,1.32,0.02
24,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12514119782,388093.04,3.48,0.61,0.26,1.46,-1.82,0.02
25,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7790544720,53654.14,0.48,0.63,0.21,1.6,-2.56,0.03
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20763668865,561027.62,5.02,0.91,0.29,2.09,4.17,0.02
27,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,94004.96,0.84,1.23,0.48,2.24,-3.52,0.03
