Annexure II-  Nifty 50 Index : May 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1291893209,83941.51,0.78,1.71,0.42,2.81,21.96,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4607918196,132757.81,1.23,1.52,0.49,1.91,8.89,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,83901.93,0.78,0.68,0.20,1.22,7.07,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,120456.73,1.12,0.97,0.28,1.61,9.29,0.02
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6215441746,368120.51,3.42,1.18,0.44,1.24,1.44,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2794978380,115572.51,1.07,0.98,0.33,1.75,4.66,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,242291.81,2.25,1.48,0.44,1.65,-3.07,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1600549988,102656.48,0.95,1.28,0.55,1.33,2.08,0.03
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,146706.85,1.36,0.93,0.21,1.48,-4.76,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,30465519100,559816.54,5.20,0.73,0.23,1.96,-3.06,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615561354,78598.54,0.73,0.63,0.15,2.27,6.98,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,103670.32,0.96,0.34,0.04,1.05,-4.89,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834643020,79210.79,0.74,0.58,0.11,1.53,-1.47,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274314204,98491.20,0.92,1.23,0.38,1.95,0.96,0.02
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,179995.17,1.67,1.41,0.29,2.06,1.44,0.02
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361048632,118537.95,1.10,1.13,0.45,1.71,11.73,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,124570.91,1.16,0.77,0.16,1.38,-1.28,0.02
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15391982634,1136299.92,10.56,1.21,0.66,1.62,-3.52,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21576158500,63782.62,0.59,0.90,0.31,1.50,1.35,0.01
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,162627.92,1.51,0.94,0.20,1.98,8.55,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,190568.43,1.77,0.60,0.15,1.21,-4.33,0.02
22,ICICIBANK,ICICI Bank Ltd.,Private Sector Bank,14317797772,895706.87,8.32,0.91,0.42,1.17,-0.55,0.02
23,ITC,ITC Ltd.,Diversified FMCG,12529229382,275749.55,2.56,0.60,0.16,1.12,-8.89,0.02
24,INFY,Infosys Ltd.,Computers - Software & Consulting,20276955635,405883.43,3.77,0.64,0.10,1.74,-1.77,0.02
25,INDIGO,InterGlobe Aviation Ltd.,Airline,3866129980,99368.24,0.92,1.71,0.48,2.41,2.55,0.02
26,JSWSTEEL,JSW Steel Ltd.,Iron & Steel,2445453966,119487.34,1.11,1.23,0.46,1.13,1.07,0.03
27,JIOFIN,Jio Financial Services Ltd.,Investment Company,63531416230,78145.76,0.73,1.51,0.53,1.65,-3.01,0.03
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,Private Sector Bank,9946457005,282056.60,2.62,1.04,0.40,1.33,0.23,0.02
29,LT,Larsen & Toubro Ltd.,Civil Construction,2751223058,477287.62,4.43,1.41,0.55,1.16,1.56,0.02
30,M&M,Mahindra & Mahindra Ltd.,Passenger Cars & Utility Vehicles,6217644155,271392.00,2.52,1.48,0.50,1.79,-1.68,0.02
31,MARUTI,Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,1572012870,171764.67,1.60,1.09,0.37,1.25,-1.40,0.02
32,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital,9731350410,71609.56,0.67,0.78,0.15,2.04,-2.81,0.03
33,NTPC,NTPC Ltd.,Power Generation,96966661340,182909.34,1.70,0.64,0.20,1.22,-3.07,0.03
34,NESTLEIND,Nestle India Ltd.,Packaged Foods,1928314320,101633.91,0.94,0.72,0.21,0.81,-2.54,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration & Production,62901396030,102807.52,0.96,0.18,0.01,2.05,-11.40,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,Power - Transmission,93006038190,131222.95,1.22,0.67,0.17,1.38,-8.73,0.03
37,RELIANCE,Reliance Industries Ltd.,Refineries & Marketing,135324726340,889884.07,8.27,0.92,0.34,1.42,-7.66,0.02
38,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,10030167960,81964.52,0.76,0.86,0.33,1.16,0.61,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,Non Banking Financial Company (NBFC),4705372852,132267.54,1.23,1.88,0.50,2.06,1.05,0.02
40,SBIN,State Bank of India,Public Sector Bank,9230617586,399079.67,3.71,1.07,0.38,2.15,-9.74,0.02
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2399334970,189966.62,1.77,0.56,0.14,1.28,-0.50,0.02
