Annexure II-  Nifty 50 Index : November 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1154180729,59229.1399069200,0.4971895200,1.5308108700,0.3394559400,1.9933824100,-8.0935106800,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4320277890,111638.3274093500,0.9371300500,1.3146470500,0.3631362500,0.8928133700,4.5056837800,0.02
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,73906.3615430700,0.6203951100,0.7561842100,0.1911094200,0.8851496700,-4.4981122200,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,129623.9787853000,1.0881077200,0.7186178800,0.1884116700,1.6587769700,14.4814401800,0.01
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6205359520,365457.0630955700,3.0677707500,1.0961180200,0.3929852700,0.7428966700,3.8043478300,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2792576080,100293.3425727800,0.8418963900,1.0872598500,0.3178098800,0.9200695200,2.0354231100,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,275272.5017307700,2.3107309000,1.1107490900,0.2503114900,2.2527893400,-0.5082470300,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1597813220,119192.8614529500,1.0005453700,1.1987522600,0.3340977100,1.9089901200,0.2729492900,0.03
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,147067.3254526100,1.2345331000,1.1003651100,0.2076423800,1.3723822300,-3.3677540500,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,28510526595,571206.4356134200,4.7949008800,0.9078343300,0.2693468000,1.4096461300,2.2925286000,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615508148,85889.4398398400,0.7209851400,0.8481925000,0.2465550000,0.6003934100,1.9982681700,0.01
12,COALINDIA,Coal India Ltd.,Coal,61627283270,85184.5249757100,0.7150678400,0.8958801300,0.3055655700,1.1227685800,-3.2162614200,0.02
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834613760,76475.7139800800,0.6419631300,0.7269060800,0.1696256600,0.6607132100,5.1102204400,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274277990,96787.2875595000,0.8124653700,1.0115655600,0.2769705400,1.4260509300,0.6636220900,0.01
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,208383.8372693200,1.7492447300,1.4123857200,0.2002681500,1.6192485600,-5.5546813500,0.02
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361034062,104376.8393600200,0.8761746500,1.1461964600,0.4012923200,1.6440336000,-5.2667980800,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,171600.3172870700,1.4404713600,1.1588570300,0.2961073600,1.3944993500,5.3649043100,0.02
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15360347948,1534633.6164872200,12.8822359600,0.9194334200,0.4896018600,0.6751585100,2.0561126300,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21554475820,81785.4345569100,0.6865347200,0.7925446200,0.2065138700,1.2285320900,4.4339687100,0.02
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,116758.6029188000,0.9801113800,1.2500063800,0.3336532300,1.6950229500,-4.6529456900,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,218298.0074582300,1.8324676400,0.4410078600,0.0847625000,0.6827416800,0.0446157000,0.01
22,ICICIBANK,ICICI Bank Ltd.,Private Sector Bank,14286352056,988291.3832317900,8.2960536400,0.8809087500,0.4169860600,0.9055064300,3.2334795200,0.02
23,ITC,ITC Ltd.,Diversified FMCG,12526662922,388400.3846122600,3.2603647800,0.5352975422,0.1811865783,0.6316438600,-3.8301415500,0.02
24,INFY,Infosys Ltd.,Computers - Software & Consulting,20771961015,560488.3277387600,4.7049294500,1.2148260300,0.3396437600,1.4062962000,5.2486001500,0.02
25,INDIGO,InterGlobe Aviation Ltd.,Airline,3865638350,128565.3075502600,1.0792208700,0.6338090842,0.2124656938,1.3590082100,4.9155555600,0.02
26,JSWSTEEL,JSW Steel Ltd.,Iron & Steel,2445453966,108390.6972978200,0.9098683400,1.2179010300,0.3879952300,1.4336508900,-3.7893864000,0.03
27,JIOFIN,Jio Financial Services Ltd.,Investment Company,63531416230,100069.2380100500,0.8400151800,1.6566768100,0.4356282900,1.1871557200,-0.1955671400,0.02
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,Private Sector Bank,9942962565,311550.3313500000,2.6152593300,1.0061477300,0.2784525700,0.6431860400,1.0560365300,0.01
29,LT,Larsen & Toubro Ltd.,Civil Construction,2751112006,476593.1914287200,4.0006851700,1.1691067300,0.4219314700,0.8104853300,0.9600833600,0.02
30,M&M,Mahindra & Mahindra Ltd.,Passenger Cars & Utility Vehicles,6217644155,332058.3306217000,2.7874104400,1.3041016500,0.3361853100,1.1423006300,7.7454691400,0.01
31,MARUTI,Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,1572012870,208060.9180655600,1.7465340300,0.8035140300,0.2158843000,1.1386665400,-1.7669591000,0.02
32,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital,9722364310,86193.4059260500,0.7235367300,1.0518578900,0.1421952800,1.4792888600,1.3068478800,0.03
33,NTPC,NTPC Ltd.,Power Generation,96966661340,154344.2102471800,1.2956177400,1.0231688000,0.3326803600,0.5678193900,-3.1161893500,0.02
34,NESTLEIND,Nestle India Ltd.,Packaged Foods,1928314320,90168.8511488700,0.7569079700,0.7212582900,0.1980541800,0.5418335600,-0.8257313600,0.02
35,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration & Production,62901396030,94227.0045547700,0.7909734900,1.0891780200,0.3076851000,0.9017447300,-4.7460547400,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,Power - Transmission,93006038190,121937.3208814100,1.0235833000,1.0418716600,0.3079337300,1.1799266900,-6.3161547800,0.02
37,RELIANCE,Reliance Industries Ltd.,Refineries & Marketing,135324726340,1058193.5999225900,8.8828365900,1.1582286200,0.4913830200,0.8590601300,5.4561356300,0.01
38,SBILIFE,SBI Life Insurance Company Ltd.,Life Insurance,10024752260,87955.4268094800,0.7383277300,0.8248308900,0.2459350200,0.7679422300,0.5266656400,0.03
39,SHRIRAMFIN,Shriram Finance Ltd.,Non Banking Financial Company (NBFC),3762015766,118913.3575908000,0.9981991200,1.6679957700,0.3443440600,1.7720479400,13.7201228500,0.02
40,SBIN,State Bank of India,Public Sector Bank,9230617586,405062.5780637700,3.4002329000,0.9233870200,0.3689961600,0.7373090300,4.4823906100,0.01
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2399334970,192482.6827313100,1.6157650300,0.6891952900,0.1716934400,0.6716719900,8.3338262300,0.01
42,TCS,Tata Consultancy Services Ltd.,Computers - Software & Consulting,3618087518,319541.5343198300,2.6823402000,0.9123256600,0.2943508100,1.0434472400,2.5997383900,0.02
43,TATACONSUM,Tata Consumer Products Ltd.,Tea & Coffee,989541732,76145.1252508200,0.6391880500,0.7941809500,0.1879493000,1.3118926300,0.6351931300,0.02
44,TMPV,Tata Motors Passenger Vehicles Ltd.,Passenger Cars & Utility Vehicles,7365045324,74322.6414830000,0.6238895000,1.2950627103,0.2742687122,1.5608886000,-12.9756097600,0.02
45,TATASTEEL,Tata Steel Ltd.,Iron & Steel,12483527171,138510.1967537400,1.1627016500,1.3985122600,0.3762872100,1.1833386200,-8.1382629600,0.02
46,TECHM,Tech Mahindra Ltd.,Computers - Software & Consulting,4897811515,96057.2801768900,0.8063374400,1.1305436800,0.3047572600,1.3232846200,6.5220443700,0.02
47,TITAN,Titan Company Ltd.,"Gems, Jewellery And Watches",887786160,160807.2254195100,1.3498704800,0.7928897000,0.2068044600,0.8578567100,4.2971147900,0.02
48,TRENT,Trent Ltd.,Speciality Retail,355487461,94082.4339430100,0.7897599100,1.4446537800,0.2035794400,1.8670372700,-9.4561489500,0.01
49,ULTRACEMCO,UltraTech Cement Ltd.,Cement & Cement Products,2946791710,137317.7119146300,1.1526915300,0.9481544400,0.2941853900,0.7747739200,-2.9044948500,0.02
50,WIPRO,Wipro Ltd.,Computers - Software & Consulting,20967373360,70997.5631143800,0.5959776700,1.0523193700,0.2446646500,1.0349613800,3.6813894500,0.02
,,,,,11912789.2194144000,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 02-Dec-2024 to 28-Nov-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 03-Nov-2025 to 28-Nov-2025,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs. Impact Cost for NIFTY 50 is the weightage average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 28-Nov-2025,,,,,,,,,,,
