Annexure II-  Nifty 50 Index : Oct 2020,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4063503522,26320.53,0.52,0.92,0.44,2.04,5.30,0.04
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,99699.50,1.99,0.71,0.40,1.90,11.33,0.02
3,AXISBANK,Axis Bank Ltd.,BANKS,6120171068,122074.46,2.43,1.58,0.62,2.01,15.98,0.03
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,37591.81,0.75,0.81,0.45,2.01,0.20,0.03
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1205174678,87734.31,1.75,1.47,0.56,2.48,0.93,0.02
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795686450,33704.16,0.67,1.34,0.62,1.72,-4.76,0.03
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440,28448.99,0.57,1.07,0.41,1.73,0.40,0.03
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,27277786775,104119.31,2.08,0.77,0.28,2.03,3.04,0.03
9,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240725630,40968.91,0.82,0.76,0.41,1.86,-8.55,0.02
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1612666892,38327.85,0.76,0.47,0.14,1.76,-2.61,0.03
11,COALINDIA,Coal India Ltd.,MINING,61627283270,23928.64,0.48,0.65,0.25,1.65,-1.55,0.04
12,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,40037.55,0.80,0.55,0.23,1.72,3.09,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,831274975,59331.66,1.18,0.48,0.18,1.16,-5.77,0.02
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,273220120,29061.22,0.58,0.85,0.38,1.45,-5.32,0.02
15,GAIL,GAIL (India) Ltd.,GAS,45101418660,15671.62,0.31,0.79,0.28,1.83,-2.36,0.04
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315856436,30725.91,0.61,1.15,0.57,1.35,4.59,0.03
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,91390.81,1.82,0.78,0.39,2.02,3.74,0.03
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5503127056,514544.86,10.25,1.07,0.69,1.92,9.73,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCE,20193366870,46445.25,0.93,1.07,0.53,1.20,5.43,0.02
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399499046,36351.82,0.72,0.88,0.39,2.14,-11.04,0.02
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2246284546,24916.35,0.50,1.40,0.59,2.08,-2.62,0.03
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349556255,184932.16,3.69,0.63,0.33,1.04,0.15,0.02
23,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3582610568,344566.53,6.87,1.25,0.68,2.37,10.55,0.02
24,ICICIBANK,ICICI Bank Ltd.,BANKS,13791991134,270736.79,5.40,1.43,0.72,2.39,10.67,0.03
25,ITC,ITC Ltd.,CIGARETTES,12304730042,144368.32,2.88,0.66,0.29,1.10,-3.76,0.03
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220,20220.20,0.40,0.72,0.40,1.30,7.65,0.04
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,7563132830,33222.95,0.66,1.66,0.35,3.25,11.05,0.04
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21296976120,388506.25,7.74,0.88,0.48,1.61,5.19,0.02
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,30623.77,0.61,1.30,0.62,2.00,11.25,0.03
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9896039045,226634.34,4.52,1.09,0.55,2.99,22.02,0.02
31,LT,Larsen & Toubro Ltd.,ENGINEERING,2808069692,113539.38,2.26,0.95,0.56,1.78,3.09,0.02
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720,56861.14,1.13,1.02,0.43,1.67,-2.29,0.02
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,92577.45,1.85,1.15,0.58,1.38,3.29,0.02
34,NTPC,NTPC Ltd.,POWER,98945572800,42471.40,0.85,0.67,0.33,1.80,2.94,0.04
35,NESTLEIND,Nestle India Ltd.,FOOD AND FOOD PROCESSING,964157160,61221.97,1.22,0.60,0.32,1.93,7.81,0.03
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030,23677.34,0.47,1.02,0.36,1.81,-6.28,0.04
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,43835.49,0.87,0.60,0.30,1.56,5.26,0.03
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,63394107200,664240.29,13.24,1.13,0.58,1.45,-8.05,0.02
39,SBILIFE,SBI Life Insurance Company Ltd.,FINANCE,10000463120,29998.24,0.60,0.91,0.47,1.16,-5.21,0.04
40,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,360807480,28961.96,0.58,0.85,0.49,1.98,7.10,0.04
41,SBIN,State Bank of India,BANKS,8924611534,72626.26,1.45,1.15,0.59,1.93,2.08,0.03
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970,50287.06,1.00,0.64,0.27,1.54,-6.93,0.02
43,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706,279987.19,5.58,0.73,0.40,2.04,6.92,0.02
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,6177947788,23765.64,0.47,1.27,0.43,2.43,-0.49,0.03
45,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11264895180,30986.18,0.62,1.10,0.49,2.19,14.12,0.03
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4832013675,50302.42,1.00,0.87,0.44,2.02,2.72,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,48642.03,0.97,0.88,0.44,1.53,-2.96,0.03
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528090912,24933.86,0.50,1.09,0.43,2.15,-9.87,0.03
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2886260760,52807.60,1.05,0.93,0.56,1.56,12.95,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,11428981236,50620.10,1.01,0.67,0.29,2.89,8.66,0.03
,,,,,5017549.82,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2019 to 30-Oct-2020,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
