Annexure II-  Nifty 50 Index : October 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121,69262.68,0.64,2.04,0.44,2.40,-6.01,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890,101284.54,0.93,2.10,0.49,1.94,-4.99,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,71003.96,0.65,0.55,0.12,1.20,-2.45,0.02
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,132615.60,1.22,0.53,0.15,1.31,-11.82,0.02
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6186123048,330027.67,3.04,1.13,0.38,1.91,-5.90,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2792576080,108964.43,1.00,0.62,0.09,3.13,-20.33,0.03
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1237992640,192473.66,1.77,1.04,0.30,1.74,-10.56,0.02
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1596662097,95477.91,0.88,0.99,0.37,1.48,-11.28,0.03
9,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,101759.73,0.94,1.74,0.38,2.09,-0.07,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,60066.61,0.55,1.47,0.30,1.89,-16.00,0.02
11,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28465772430,431631.66,3.98,0.86,0.27,0.98,-5.67,0.02
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,67404.26,0.62,0.31,0.05,1.36,-9.64,0.02
13,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1615119840,85152.14,0.78,0.27,0.02,2.56,-6.19,0.02
14,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,102394.33,0.94,1.54,0.35,1.73,-11.39,0.03
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,834349410,77588.57,0.71,0.41,0.08,1.08,-5.64,0.02
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,274060710,67228.11,0.62,0.90,0.23,1.71,-2.62,0.02
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316958452,100163.29,0.92,0.96,0.32,1.20,-3.57,0.03
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,186265.03,1.72,0.71,0.17,1.27,-1.67,0.02
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7628644396,1314780.79,12.11,1.00,0.38,1.44,0.21,0.02
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21522212070,76747.03,0.71,0.61,0.12,1.63,0.30,0.02
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399960236,64584.20,0.60,0.59,0.09,1.52,-12.65,0.02
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523,99687.28,0.92,1.12,0.24,1.61,-9.28,0.02
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,224803.20,2.07,0.25,0.03,1.42,-14.54,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14091369608,909147.50,8.38,1.00,0.42,1.43,1.51,0.03
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12507598702,454053.33,4.18,0.63,0.20,1.19,-5.66,0.02
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7789930880,69627.29,0.64,1.30,0.32,4.01,-27.08,0.02
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20760673405,631558.67,5.82,0.73,0.18,1.59,-6.31,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966,92294.27,0.85,1.27,0.43,1.14,-6.45,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9940600060,253833.97,2.34,0.86,0.25,1.63,-6.63,0.02
30,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2749989800,425824.64,3.92,1.42,0.47,2.03,-1.45,0.02
31,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155,242779.82,2.24,1.26,0.30,2.15,-11.84,0.02
32,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1572012870,145568.75,1.34,0.80,0.23,1.52,-16.33,0.02
33,NTPC,NTPC Ltd.,POWER,96966661340,193009.63,1.78,1.57,0.45,1.46,-7.91,0.03
