Annexure II-  Nifty 50 Index : October 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIENT,Adani Enterprises Ltd.,Trading - Minerals,1154180729,64445.00312,0.54770027,1.59996026,0.2497608,1.13031082,-0.99365497,0.02
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port & Port services,4320277890,106825.1251,0.90787721,1.41416999,0.32743568,1.15138281,3.42002138,0.03
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital,718923285,77387.33052,0.65769353,0.73429153,0.17073058,0.95422605,3.67121069,0.01
4,ASIANPAINT,Asian Paints Ltd.,Paints,959197790,113227.0686,0.96228556,0.73919879,0.2007247,1.17629366,6.84255319,0.01
5,AXISBANK,Axis Bank Ltd.,Private Sector Bank,6205359520,352063.3487,2.9920891,1.06039119,0.39190959,1.38838245,8.94308943,0.02
6,BAJAJ-AUTO,Bajaj Auto Ltd.,2/3 Wheelers,2792576080,98292.67084,0.83536224,1.08099573,0.32339205,0.8903378,2.46586392,0.02
7,BAJFINANCE,Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),6222481865,276678.7131,2.35141591,1.13944057,0.31513947,1.23502896,4.39483432,0.01
8,BAJAJFINSV,Bajaj Finserv Ltd.,Holding Company,1597813220,118868.411,1.01022977,1.17115874,0.37463045,1.1710506,4.0819378,0.02
9,BEL,Bharat Electronics Ltd.,Aerospace & Defense,7309778829,152192.8048,1.29344459,1.15276293,0.23743356,1.32811027,5.4833519,0.02
10,BHARTIARTL,Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,28510526595,558404.8449,4.74572845,0.94426884,0.32327651,1.12247152,9.375,0.02
11,CIPLA,Cipla Ltd.,Pharmaceuticals,1615508148,84206.7629,0.71565,0.81565811,0.23678092,1.72544229,-0.13304064,0.02
12,COALINDIA,Coal India Ltd.,Coal,61627283270,88015.32801,0.74801795,0.85832648,0.30234886,0.87974891,-0.33337607,0.03
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals,834613760,72757.63828,0.61834706,0.73041417,0.17998709,1.42891746,-2.1328757,0.02
14,EICHERMOT,Eicher Motors Ltd.,2/3 Wheelers,274277990,96149.22009,0.81714565,1.03681232,0.29656219,0.96460525,0.02141175,0.01
15,ETERNAL,Eternal Ltd.,E-Retail/ E-Commerce,9650350647,220639.6678,1.87515556,1.2793182,0.17463759,1.5013294,-2.38095238,0.02
16,GRASIM,Grasim Industries Ltd.,Cement & Cement Products,1361034062,110179.7862,0.93638755,1.13580464,0.43985786,1.06745429,4.88954986,0.02
17,HCLTECH,HCL Technologies Ltd.,Computers - Software & Consulting,5427330192,162862.8796,1.3841266,1.0949208,0.29243671,1.10699847,11.29160349,0.02
18,HDFCBANK,HDFC Bank Ltd.,Private Sector Bank,15360347948,1503715.532,12.77966271,0.9037631,0.47282348,0.76211765,3.8170347,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,Life Insurance,21554475820,78313.05807,0.66556104,0.77527837,0.21715441,1.22717589,-3.25203252,0.01
20,HINDALCO,Hindalco Industries Ltd.,Aluminium,2247226523,122456.4343,1.04072339,1.25817515,0.33523181,1.31870114,11.27370562,0.02
21,HINDUNILVR,Hindustan Unilever Ltd.,Diversified FMCG,2349591262,218200.6557,1.85442707,0.46347095,0.09747564,1.04872028,-1.94479796,0.02
22,ICICIBANK,ICICI Bank Ltd.,Private Sector Bank,14286352056,957336.116,8.13613506,0.87909207,0.44843146,1.12214744,-0.20029674,0.02
23,ITC,ITC Ltd.,Diversified FMCG,12526662922,403869.1445,3.43237224,0.567478931,0.209678818,0.73180478,4.6818578,0.02
24,INFY,Infosys Ltd.,Computers - Software & Consulting,20771961015,532537.5605,4.52588955,1.16339312,0.33298214,1.4021532,2.80898876,0.02
25,INDIGO,InterGlobe Aviation Ltd.,Airline,3865638350,122541.7021,1.04144806,0.633809084,0.212465694,1.02860786,0.5451783,0.02
26,JSWSTEEL,JSW Steel Ltd.,Iron & Steel,2445453966,112659.8129,0.95746461,1.18904172,0.39070002,1.21629259,5.53951168,0.03
27,JIOFIN,Jio Financial Services Ltd.,Investment Company,63531416230,100265.324,0.85212728,1.56265438,0.40465433,1.05098661,4.63847203,0.03
28,KOTAKBANK,Kotak Mahindra Bank Ltd.,Private Sector Bank,9942962565,308294.6275,2.62011083,0.98200609,0.28741922,1.38927732,5.49505696,0.01
29,LT,Larsen & Toubro Ltd.,Civil Construction,2751112006,472061.0122,4.01191608,1.1703335,0.4372014,0.75220785,10.16397923,0.02
30,M&M,Mahindra & Mahindra Ltd.,Passenger Cars & Utility Vehicles,6217644155,308187.744,2.61920246,1.31310702,0.3481343,1.00912312,1.75663846,0.01
31,MARUTI,Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,1572012870,211803.3975,1.80005854,0.80345762,0.24130755,0.6952107,0.9794747,0.02
32,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital,9722364310,85081.51988,0.72308432,0.97659738,0.13118568,2.0529766,2.96940881,0.03
33,NTPC,NTPC Ltd.,Power Generation,96966661340,159308.5668,1.35391948,1.06297317,0.35594193,1.02178043,-1.02805111,0.03
34,NESTLEIND,Nestle India Ltd.,Packaged Foods,1928314320,90919.60282,0.77270058,0.71506119,0.20644665,1.40695447,10.29577587,0.03
35,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration & Production,62901396030,98921.89169,0.84070982,1.10770827,0.32621834,0.92163803,6.6263048,0.02
36,POWERGRID,Power Grid Corporation of India Ltd.,Power - Transmission,93006038190,130158.322,1.10617961,1.03362776,0.30934685,1.17614673,2.81891169,0.02
