Annexure II-  CNX Nifty Index : September 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,13091.11,0.49,1.26,0.38,1.55,-6.23,0.07
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3096575972,16400.36,0.61,1.49,0.42,1.56,3.59,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,28507.16,1.06,0.8,0.18,1.86,0.86,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,4716512204,63090.12,2.35,1.66,0.5,1.73,-4.92,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,31558.48,1.17,0.71,0.18,1.42,4.11,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,16949.14,0.63,1.86,0.4,1.58,3.53,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,56086.96,2.09,0.8,0.17,1.34,9.57,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,18123.65,0.67,1.75,0.32,1.97,-16.79,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,16937.29,0.63,1.54,0.33,2.11,-5.6,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18745245150,17696.12,0.66,0.69,0.16,1.59,-4.41,0.05
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,31806.03,1.18,0.4,0.05,2.38,21.9,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,22313.17,0.83,1.14,0.2,2.02,-4.14,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3563545454,6740.85,0.25,2.02,0.31,3.32,-14.92,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851675195,40989.16,1.52,0.13,0.01,1.28,9.56,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,20892.91,0.78,0.98,0.21,1.54,1.36,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918439720,22571.09,0.84,1.03,0.28,1.53,4.45,0.07
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1400954058,46070.32,1.71,0.48,0.06,0.88,5.15,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3135991000,165462.73,6.15,1.08,0.35,1.44,-1.79,0.07
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4825462430,163044.01,6.06,1.16,0.48,1.02,3.45,0.05
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,34067.51,1.27,0.89,0.22,2.14,9.01,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064802718,20164.34,0.75,1.44,0.23,2.36,-7.85,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163134695,52847.17,1.97,0.26,0.03,0.96,0.48,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11568635930,165842.18,6.17,1.8,0.62,1.49,-7.92,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15171390860,17234.29,0.64,1.74,0.38,1.76,-4.85,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5278732040,26759.02,1,1.58,0.47,1.39,6.17,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,180914.46,6.73,0.43,0.06,1.28,4.14,0.04
27,ITC,I T C Ltd.,CIGARETTES,7967350820,205480.79,7.64,0.49,0.1,1.25,4.19,0.04
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,914903800,6258.43,0.23,1.35,0.18,3.86,-25.84,0.09
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3854030075,43275.41,1.61,1.11,0.34,1.22,-2.36,0.07
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1856103690,119052.18,4.43,1.58,0.46,1.74,-4.47,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,897375006,33358.18,1.24,0.2,0.02,1.66,8.58,0.07
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,62647.86,2.33,0.77,0.15,1.1,-3.3,0.06
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,40518.97,1.51,1.04,0.24,1.29,10,0.04
34,NMDC,NMDC Ltd.,MINING,3964716000,13112.4,0.49,0.96,0.18,2.21,-2.45,0.07
35,NTPC,NTPC Ltd.,POWER,82454644000,28722,1.07,0.86,0.13,1.33,1.24,0.06
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,73302.29,2.73,1.55,0.38,2.05,-6.08,0.07
