Annexure II-  Nifty Next 50 Index : April 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,28879.42,1.28,1.43,0.3,2,-0.43,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,32474.65,1.44,1.71,0.21,2.55,3.17,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,27532.91,1.22,1.8,0.22,2.82,-5.05,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,41765.46,1.86,1.5,0.19,2.32,4.47,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,35853.84,1.59,1.53,0.44,1.58,0.25,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,61609.24,2.74,0.36,0.03,1.76,2.86,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,51694.74,2.3,0.65,0.08,2.47,-4.01,0.04
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83281467010,11318.01,0.5,1.1,0.13,2.24,-1.05,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,46158.93,2.05,1.56,0.45,1.64,9.36,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,59931.17,2.66,1.29,0.35,1.91,11.34,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,25473.49,1.13,0.85,0.25,1.46,3.87,0.03
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,63973.3,2.84,0.29,0.04,1.26,10.17,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,POWER EQUIPMENT,3057738888,40036.43,1.78,1.29,0.22,2.97,-1.83,0.03
14,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,32763.31,1.46,1.69,0.48,2.28,9.49,0.03
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1681833530,62646.94,2.78,1.24,0.26,3.06,-1.83,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,43142.36,1.92,1.77,0.56,2.86,-0.91,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772318252,28685.76,1.27,0.34,0.05,1.88,-3.7,0.02
18,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,77070.7,3.42,0.7,0.13,2.62,5.39,0.03
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,50867.91,2.26,1.79,0.45,2.41,3.31,0.03
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023007964,60204.38,2.67,0.34,0.03,1.56,8.73,0.03
21,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626941732,40282.24,1.79,0.83,0.22,1.76,4.72,0.03
22,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,85045.14,3.78,1.79,0.38,2.41,7.43,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,PASSENGER/UTILITY VEHICLES,8125411000,20658.69,0.92,0.73,0.12,1.56,0,0.03
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4956823010,44773.78,1.99,0.81,0.24,2.24,4.67,0.04
25,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14453002760,23963.19,1.06,0.67,0.16,1.87,8.86,0.04
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS & RESORTS,1423432227,68985.94,3.06,1.29,0.31,2.67,0.02,0.02
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,1.41212E+11,51370.75,2.28,1.34,0.41,1.28,7.96,0.03
28,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,1.30685E+11,22178.54,0.99,1.41,0.24,1.81,0.04,0.03
29,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,54719.82,2.43,1.21,0.29,2.27,-1.56,0.04
30,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3864233690,102711.14,4.56,0.88,0.2,1.7,2.62,0.02
31,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,25540.41,1.13,1.59,0.27,2.26,-10.91,0.04
32,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,33937.59,1.51,1.2,0.33,2.82,-1.83,0.04
33,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296285542,42243.6,1.88,0.87,0.19,2.39,2.12,0.04
34,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,17615.41,0.78,1.27,0.34,1.67,-0.46,0.03
35,LODHA,Macrotech Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9974402830,37042.26,1.65,1.42,0.21,3.35,11.16,0.03
36,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508647555,46573.04,2.07,0.37,0.08,1.11,6.48,0.02
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,59155.63,2.63,2.24,0.47,2.39,-1.65,0.03
38,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,34456.8,1.53,1.49,0.4,1.76,4.24,0.03
39,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,52326.85,2.32,2.27,0.46,2.74,-2.12,0.04
40,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,39185.74,1.74,1.52,0.37,3.15,1.76,0.03
41,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,39623.46,1.76,0.71,0.22,1.48,-2.6,0.03
42,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,25586.27,1.14,1.14,0.17,1.72,-45,0.16
