Annexure II-  Nifty Next 50 Index : April 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,37815.54,1.54,0.93,0.22,1.90,21.69,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,46434.03,1.89,1.66,0.33,3.47,43.57,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,41026.37,1.67,1.79,0.32,3.00,52.08,0.04
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,91503.20,3.72,1.05,0.11,1.94,47.48,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,27014.36,1.10,1.36,0.50,2.36,10.70,0.02
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,67328.55,2.74,0.65,0.13,2.42,15.90,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,44324.78,1.80,1.27,0.29,1.90,17.39,0.03
8,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,48741.00,1.98,1.18,0.32,2.06,6.41,0.02
9,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,60721.39,2.47,1.20,0.33,2.35,6.92,0.02
10,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,31131.79,1.27,1.18,0.32,2.68,25.22,0.03
11,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,67272.71,2.73,0.64,0.18,1.31,5.59,0.02
12,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149835218,55646.53,2.26,1.19,0.27,1.91,24.17,0.02
13,CANBK,Canara Bank,Public Sector Bank,18141302520,45269.70,1.84,1.18,0.29,2.23,9.07,0.02
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1703699256,66746.46,2.71,1.49,0.40,2.79,15.37,0.02
15,CUMMINSIND,Cummins India Ltd.,"Compressors, Pumps & Diesel Engines",554400000,70939.47,2.88,0.97,0.24,1.71,17.03,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,37550.14,1.53,1.62,0.56,2.10,16.45,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,82401.99,3.35,0.49,0.08,1.11,9.34,0.03
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,43906.37,1.78,1.03,0.31,1.57,18.53,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023244581,42805.16,1.74,0.84,0.23,1.95,8.36,0.03
20,HDFCAMC,HDFC Asset Management Company Ltd.,Asset Management Company,2142000905,55109.94,2.24,1.51,0.45,2.93,22.39,0.03
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,82087.10,3.34,0.85,0.18,1.73,24.42,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,25762.72,1.05,1.32,0.20,2.41,18.68,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,25844.13,1.05,0.83,0.14,2.18,2.23,0.04
24,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,55678.20,2.26,1.37,0.49,1.90,11.37,0.02
25,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212383830,52999.56,2.15,1.03,0.30,1.86,5.06,0.02
26,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institution,130685060000,20903.06,0.85,1.46,0.41,2.08,19.47,0.03
27,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel,1020088097,45171.01,1.84,1.26,0.34,1.72,9.88,0.03
28,LTM,LTM Ltd.,Computers - Software & Consulting,296493321,39505.44,1.61,1.05,0.26,2.37,6.37,0.03
29,LODHA,Lodha Developers Ltd.,"Residential, Commercial Projects",9988921240,25209.94,1.02,1.75,0.46,2.72,32.63,0.02
30,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Ship Building & Allied Services,2016900000,20706.28,0.84,1.27,0.20,2.81,32.35,0.02
31,MUTHOOTFIN,Muthoot Finance Ltd.,Non Banking Financial Company (NBFC),4014684760,36618.66,1.49,1.08,0.16,2.39,8.36,0.03
32,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,1017766288,42546.93,1.73,0.89,0.36,1.78,7.06,0.02
33,PFC,Power Finance Corporation Ltd.,Financial Institution,33001017600,65108.36,2.65,1.28,0.36,1.94,18.16,0.03
34,PNB,Punjab National Bank,Public Sector Bank,22985886536,37602.11,1.53,1.25,0.37,1.98,8.75,0.02
35,RECLTD,REC Ltd.,Financial Institution,26332240000,44129.34,1.79,1.41,0.45,2.10,16.13,0.03
36,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Components & Equipments,10554442601,53494.22,2.17,1.70,0.45,3.03,15.35,0.02
37,SHREECEM,Shree Cement Ltd.,Cement & Cement Products,360807480,32269.56,1.31,0.97,0.39,1.61,5.10,0.04
38,ENRIN,Siemens Energy India Ltd.,Heavy Electrical Equipment,712241010,28916.92,1.18,-,-,1.48,27.80,0.04
39,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,712241010,33563.92,1.36,1.08,0.24,2.33,29.75,0.03
40,SOLARINDS,Solar Industries India Ltd.,Explosives,180980110,37503.95,1.52,0.80,0.12,1.96,27.85,0.03
41,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,475087114,81799.53,3.32,1.26,0.42,2.34,3.84,0.02
42,TATACAP,Tata Capital Ltd.,Non Banking Financial Company (NBFC),42448690370,14350.51,0.58,-,-,1.75,9.23,0.04
43,TMCV,Tata Motors Ltd.,Commercial Vehicles,7364662746,85427.11,3.47,-,-,2.81,3.82,0.05
44,TATAPOWER,Tata Power Co. Ltd.,Integrated Power Utilities,3195339547,74213.12,3.02,0.93,0.32,1.50,17.37,0.02
45,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,43651.34,1.77,0.37,0.06,1.40,-0.83,0.03
46,UNIONBANK,Union Bank of India,Public Sector Bank,76336056070,31975.07,1.30,1.33,0.27,2.99,1.06,0.03
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,39045.19,1.59,0.78,0.20,1.90,8.76,0.03
48,VBL,Varun Beverages Ltd.,Other Beverages,6764188788,70107.70,2.85,1.13,0.26,2.32,33.74,0.04
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,46011.92,1.87,1.12,0.22,2.49,-58.53,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,22248.93,0.90,0.72,0.23,1.34,2.38,0.03
51,DUMMYVEDL1,Dummy Vedanta Ltd. 1,Aluminium,3910388057,20506.69,0.83,-,-,-,-,-
52,DUMMYVEDL2,Dummy Vedanta Ltd. 2,Power Generation,39103880570,20506.69,0.83,-,-,-,-,-
53,DUMMYVEDL3,Dummy Vedanta Ltd. 3,Oil Exploration & Production,3910388057,20506.69,0.83,-,-,-,-,-
54,DUMMYVEDL4,Dummy Vedanta Ltd. 4,Iron & Steel,3910388057,20506.69,0.83,-,-,-,-,-
,,,,,2460168.09,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 02-May-2025 to 30-Apr-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2026 to 30-Apr-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 30-Apr-2026,,,,,,,,,,,
