Annexure II-  Nifty Next 50 Index : August 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,26143.95,1.16,1.21,0.24,1.50,-9.27,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,27583.51,1.22,1.58,0.17,1.70,-5.47,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,27924.18,1.23,1.53,0.14,1.72,-7.23,0.02
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,47150.50,2.09,1.24,0.13,1.77,2.13,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,36749.14,1.63,1.07,0.26,1.33,-4.98,0.02
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,69785.68,3.09,0.57,0.06,1.49,11.44,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,55135.73,2.44,1.09,0.15,1.79,-8.54,0.03
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83323346190,10324.99,0.46,1.03,0.15,1.37,-2.31,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,42991.75,1.90,1.10,0.25,1.18,-2.12,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,59573.57,2.63,1.09,0.27,1.38,-6.41,0.02
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,34558.73,1.53,0.95,0.25,1.67,-1.05,0.02
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,68503.76,3.03,0.53,0.10,2.00,0.92,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,POWER EQUIPMENT,3058157768,44356.68,1.96,1.37,0.23,1.55,4.93,0.02
14,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,34908.22,1.54,1.27,0.28,1.17,-3.19,0.02
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1682203164,59667.71,2.64,1.35,0.27,1.90,-1.56,0.02
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,47285.12,2.09,1.78,0.51,1.41,-5.76,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1773690172,30641.40,1.36,0.61,0.14,1.65,-1.49,0.02
18,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,77652.04,3.43,0.70,0.11,1.87,-7.04,0.02
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,46557.96,2.06,1.27,0.31,1.07,-2.59,0.02
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023007964,49856.70,2.20,0.52,0.07,1.34,-1.30,0.03
21,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,627206421,38401.05,1.70,0.90,0.22,1.51,1.67,0.02
22,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,82053.25,3.63,1.32,0.26,1.26,-4.44,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,PASSENGER/UTILITY VEHICLES,8125411000,34985.18,1.55,0.83,0.12,2.97,14.34,0.04
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4964885290,44105.02,1.95,0.79,0.18,1.39,-4.54,0.03
25,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14461387330,23417.08,1.04,0.80,0.21,1.16,-2.61,0.03
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS & RESORTS,1423432227,66425.65,2.94,1.36,0.30,1.43,2.39,0.02
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,50905.21,2.25,1.10,0.30,1.06,-6.18,0.02
28,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,21044.99,0.93,1.36,0.25,1.19,-7.97,0.02
29,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,52573.04,2.32,1.54,0.36,1.68,-2.46,0.03
30,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3865102200,110496.25,4.89,0.98,0.21,1.67,-4.48,0.02
31,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,26080.46,1.15,1.22,0.18,1.86,-5.16,0.03
32,JINDALSTEL,Jindal Steel Ltd.,STEEL,1020088097,34845.56,1.54,1.18,0.27,1.73,-1.99,0.03
33,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296349514,47410.42,2.10,1.07,0.24,1.10,0.54,0.03
34,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,18863.92,0.83,0.96,0.27,1.35,-4.79,0.02
35,LODHA,Lodha Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9979498640,33293.23,1.47,1.57,0.24,1.68,-3.19,0.02
