Annexure II-  Nifty Next 50 Index : December 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,36147.00,1.48,1.27,0.21,2.10,-6.86,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,29101.39,1.19,1.54,0.14,2.08,-4.08,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,31812.47,1.31,1.66,0.18,2.45,-21.39,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,41561.36,1.71,1.45,0.19,2.08,-4.57,0.04
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,21044.87,0.86,1.27,0.13,2.87,-6.32,0.03
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,35906.34,1.47,1.60,0.41,1.54,0.81,0.02
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,52612.51,2.16,0.28,0.02,1.55,-3.98,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,51327.50,2.11,0.40,0.04,3.41,13.55,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,44749.25,1.84,1.68,0.44,1.50,-2.37,0.02
10,BHEL,Bharat Heavy Electricals Ltd.,POWER EQUIPMENT,6964126710,29405.21,1.21,1.96,0.35,1.83,-8.64,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,29499.63,1.21,0.80,0.20,1.07,-2.48,0.04
12,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,33661.26,1.38,1.66,0.43,1.54,-1.85,0.03
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1681562230,49486.38,2.03,1.05,0.20,1.85,-3.89,0.03
14,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,52787.69,2.17,1.65,0.46,1.51,0.24,0.03
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1772315023,29896.29,1.23,0.31,0.04,0.88,-3.82,0.02
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,77346.71,3.17,0.48,0.07,1.26,-1.20,0.02
17,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,51507.19,2.11,1.75,0.39,1.48,-4.25,0.02
18,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023007847,40668.63,1.67,0.50,0.06,2.05,-13.06,0.03
19,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626941732,42287.69,1.74,0.75,0.18,1.28,-2.50,0.02
20,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,79250.46,3.25,1.64,0.32,1.63,-6.67,0.02
21,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4951549000,42649.04,1.75,0.63,0.13,1.53,-3.98,0.03
22,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14452047710,25502.25,1.05,0.63,0.11,1.08,-6.40,0.03
23,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,51033.85,2.09,1.49,0.33,1.30,-1.60,0.02
24,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,23671.84,0.97,1.39,0.38,1.32,-3.56,0.03
25,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,26560.03,1.09,1.52,0.15,2.30,-0.20,0.02
26,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,67782.22,2.78,1.05,0.23,1.07,5.11,0.03
27,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3863903490,89217.89,3.66,0.88,0.17,1.31,4.00,0.02
28,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,34247.15,1.41,1.51,0.23,1.44,-1.83,0.03
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,35265.12,1.45,1.27,0.32,1.71,2.68,0.03
30,JIOFIN,Jio Financial Services Ltd.,NBFC,63531416230,97878.15,4.02,1.17,0.19,1.69,-9.03,0.03
31,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296285542,51596.45,2.12,0.66,0.11,2.09,-9.50,0.03
32,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,19746.64,0.81,1.35,0.25,1.16,-9.49,0.02
33,LODHA,Macrotech Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9968347540,38629.37,1.59,1.29,0.16,2.26,10.87,0.02
34,NHPC,NHPC Ltd.,POWER,100450348050,25465.76,1.05,1.49,0.22,1.40,-0.92,0.03
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508646055,44587.84,1.83,0.41,0.07,1.24,-5.28,0.02
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,65124.36,2.67,2.29,0.42,1.82,-9.45,0.03
37,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,35340.72,1.45,1.63,0.37,1.41,-2.02,0.02
38,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,62368.87,2.56,2.28,0.41,1.54,-5.99,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,45959.53,1.89,1.15,0.24,1.69,-3.90,0.02
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,34500.85,1.42,0.60,0.13,1.50,-1.47,0.03
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,57635.63,2.37,1.37,0.30,2.44,-13.55,0.02
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,55475.08,2.28,0.95,0.25,1.50,-2.71,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,66151.44,2.72,1.56,0.41,1.34,-5.25,0.02
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,31507.88,1.29,0.43,0.06,0.84,1.08,0.02
45,UNIONBANK,Union Bank of India,PUBLIC SECTOR BANK,76336056070,23194.25,0.95,1.56,0.33,1.87,-1.03,0.02
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,47874.11,1.96,0.51,0.09,1.08,6.30,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6763020034,85412.47,3.51,0.78,0.1064,1.42,2.78,0.03
48,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,75243.24,3.09,1.28,0.25,2.07,-2.00,0.02
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,9650350647,192504.95,7.90,0.72,0.07,2.02,-0.61,0.03
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,24253.18,1.00,0.65,0.11,1.14,0.60,0.02
