Annexure II-  Nifty Next 50 Index : December 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,27037.48069,1.171,1.17933571,0.25111087,1.01497493,-0.09661836,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,35540.32788,1.53926042,1.60760038,0.28083262,1.4114182,3.29797396,0.02
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,31029.87634,1.34391164,1.69351071,0.24171568,1.23786885,-3.15779431,0.02
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,56253.10156,2.43633579,1.32821168,0.1180014,1.44907809,-3.05105431,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,33834.0208,1.46535984,0.92583244,0.24379131,1.00194902,1.11777535,0.02
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,55538.26749,2.40537615,0.7314628,0.09731535,1.03316275,-5.36219192,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,48909.75391,2.11829358,1.30524684,0.19110257,1.40166337,-1.48708583,0.03
8,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance Company,83323346190,8808.737317,0.3815086,0.99774862,0.2104638,1.6444976,-10.22175692,0.03
9,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,54742.81607,2.37092495,0.94888634,0.18177628,1.35183025,2.10489993,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,74224.17925,3.21466762,1.01092061,0.21189759,1.41922153,6.93400167,0.02
11,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,31178.04726,1.35032896,0.8185857,0.18607936,0.74655666,-0.19385212,0.03
12,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,70932.31445,3.07209614,0.40225906,0.06007548,0.91595833,3.16455696,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149715218,44364.31847,1.92142964,1.47976585,0.26048173,1.11848127,-3.7152623,0.02
14,CANBK,Canara Bank,Public Sector Bank,18141302520,52081.59448,2.25566678,1.05586586,0.18388102,1.55333382,2.19685974,0.02
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1687706982,71790.49334,3.10926408,1.35441331,0.2333455,1.94422649,-1.94700461,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,43974.55168,1.90454874,1.70509968,0.46933073,1.28379245,-5.00276396,0.02
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,80998.35666,3.50805892,0.86832891,0.15080562,0.9501264,-1.30461633,0.02
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,46309.19771,2.00566284,1.27896542,0.31318976,0.93599651,-2.23181328,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023244581,49041.40199,2.12399529,0.48510948,0.05699323,0.79283856,6.68645251,0.03
20,HAVELLS,Havells India Ltd.,Consumer Electronics,627256842,35837.29119,1.55212197,0.86515575,0.19473315,0.87606397,-1.17899993,0.02
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,83039.39554,3.59645682,1.18773511,0.20149408,1.18903291,-3.38367383,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,26476.26479,1.1466936,1.42752616,0.23246755,2.27017802,26.22629843,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,32675.96689,1.41520423,0.83513655,0.10928186,1.18769091,-1.20378332,0.03
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,General Insurance,4980048050,47361.93992,2.05125737,0.83857871,0.16603495,0.49512651,-0.42628774,0.03
25,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,64715.27596,2.80283466,1.52616619,0.37332481,1.06858448,-0.73223163,0.02
26,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212383830,62024.43496,2.68629367,0.98099399,0.22703056,1.38967319,2.91190108,0.02
