Annexure II-  Nifty 50 Index : February 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,25809.24,1.26,1.47,0.27,3.23,-15.99,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,23495.53,1.15,1.71,0.18,2.17,-13.02,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,23672.12,1.16,1.83,0.21,2.03,-22.37,0.04
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,37597.15,1.84,1.55,0.18,1.86,-6.67,0.04
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,15406.54,0.75,1.42,0.17,1.67,-13.36,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,31158.37,1.52,1.67,0.45,1.42,-9.33,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,50280.15,2.46,0.30,0.02,2.55,-7.11,0.04
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,49978.55,2.45,0.49,0.04,2.76,0.13,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,36660.71,1.79,1.66,0.45,1.68,-7.65,0.03
10,BHEL,Bharat Heavy Electricals Ltd.,POWER EQUIPMENT,6964126710,22966.57,1.12,2.16,0.40,2.76,-13.90,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,22962.86,1.12,0.80,0.20,0.78,-7.61,0.04
12,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,27199.32,1.33,1.76,0.48,1.88,-13.26,0.03
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1681562230,58449.39,2.86,1.18,0.22,2.50,8.94,0.03
14,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,40670.65,1.99,1.71,0.49,1.78,-14.70,0.04
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1772315023,29088.44,1.42,0.29,0.03,1.20,-6.90,0.02
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,69502.08,3.40,0.58,0.09,2.08,-1.75,0.03
17,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,42083.90,2.06,1.76,0.39,1.79,-11.90,0.03
18,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023007847,37778.36,1.85,0.42,0.04,2.43,-10.35,0.04
19,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626941732,35893.16,1.76,0.82,0.19,2.28,-9.22,0.03
20,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,58573.66,2.87,1.85,0.37,2.79,-21.56,0.03
21,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4951549000,40339.75,1.97,0.72,0.18,0.95,-9.02,0.04
22,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14452047710,21481.31,1.05,0.63,0.12,1.01,-10.45,0.04
23,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,42459.00,2.08,1.55,0.44,1.69,-11.67,0.02
24,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,20183.79,0.99,1.36,0.40,1.51,-18.41,0.04
25,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,20034.07,0.98,1.51,0.22,2.47,-25.52,0.03
26,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,54622.99,2.67,1.22,0.25,2.32,-9.47,0.04
27,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3863903490,87710.44,4.29,0.91,0.17,1.64,3.54,0.03
28,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,24732.13,1.21,1.64,0.24,3.70,-8.75,0.05
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,32440.35,1.59,1.13,0.25,1.73,8.16,0.04
30,JIOFIN,Jio Financial Services Ltd.,NBFC,63531416230,68029.73,3.33,1.35,0.31,2.57,-14.09,0.04
31,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296285542,43098.96,2.11,0.74,0.14,2.03,-21.11,0.04
32,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,16392.81,0.80,1.36,0.31,1.33,-12.41,0.03
33,LODHA,Macrotech Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9968347540,31442.32,1.54,1.30,0.16,2.76,-6.11,0.03
34,NHPC,NHPC Ltd.,POWER,100450348050,23007.23,1.13,1.44,0.27,2.40,-9.50,0.04
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508646055,40805.72,2.00,0.39,0.07,1.08,-7.45,0.03
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,52898.11,2.59,2.39,0.46,2.75,-13.78,0.04
37,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,30048.89,1.47,1.62,0.39,1.70,-13.65,0.03
38,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,44880.17,2.20,2.32,0.41,2.98,-19.91,0.04
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,34911.23,1.71,1.38,0.30,2.93,-16.05,0.03
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,36635.55,1.79,0.71,0.19,1.27,-1.84,0.04
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,40770.55,2.00,1.50,0.30,2.84,-23.87,0.03
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,52125.73,2.55,1.09,0.28,2.22,-9.46,0.04
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,57182.89,2.80,1.62,0.45,1.77,-6.94,0.03
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,27644.94,1.35,0.47,0.08,1.65,-9.82,0.03
45,UNIONBANK,Union Bank of India,PUBLIC SECTOR BANK,76336056070,21600.69,1.06,1.67,0.36,2.69,-2.94,0.03
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,37830.70,1.85,0.62,0.11,2.03,-9.80,0.04
47,VBL,Varun Beverages Ltd.,BEVERAGES,6763020034,58330.63,2.85,0.83,0.11,3.23,-18.76,0.04
48,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,66829.27,3.27,1.37,0.27,2.37,-10.57,0.03
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,9650350647,153768.56,7.53,0.94,0.10,2.80,0.79,0.03
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,21879.53,1.07,0.80,0.16,1.80,-9.65,0.03
,,,,,2043344.81,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2024 to 28-Feb-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2025 to 28-Feb-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
