Annexure II-  Nifty Next 50 Index : February 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,31759.89,1.37,1.07,0.24,1.79,8.86,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,34993.74,1.51,1.82,0.34,3.17,13.05,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,28958.87,1.25,1.95,0.30,3.30,11.15,0.03
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,55120.09,2.38,1.34,0.14,3.01,3.49,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,30431.46,1.31,0.98,0.29,1.64,-1.91,0.03
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,56498.61,2.44,0.77,0.16,1.39,4.29,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,46647.33,2.01,1.27,0.22,1.53,0.04,0.02
8,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance Company,83323346190,8127.98,0.35,0.85,0.20,0.66,-4.17,0.03
9,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,59562.18,2.57,0.95,0.19,2.00,7.53,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,74494.79,3.22,0.99,0.22,1.47,5.73,0.02
11,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,31511.11,1.36,0.90,0.20,1.64,-0.29,0.03
12,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,70597.12,3.05,0.50,0.09,1.27,2.42,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149715218,49657.36,2.14,1.41,0.27,2.16,24.17,0.03
14,CANBK,Canara Bank,Public Sector Bank,18141302520,52908.66,2.28,0.94,0.16,1.86,6.75,0.02
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1687706982,72996.70,3.15,1.31,0.26,2.04,6.08,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,38629.67,1.67,1.81,0.54,2.04,-5.02,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,81201.09,3.50,0.75,0.13,1.79,5.91,0.03
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,45601.76,1.97,1.15,0.30,1.36,1.34,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023244581,48852.81,2.11,0.45,0.06,1.09,5.49,0.03
20,HAVELLS,Havells India Ltd.,Consumer Electronics,627256842,35138.10,1.52,0.85,0.22,1.16,8.72,0.03
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,74042.37,3.20,1.00,0.17,2.33,-15.29,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,26102.32,1.13,1.39,0.18,3.33,-3.93,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,30790.49,1.33,0.80,0.11,1.93,-1.40,0.03
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,General Insurance,4980048050,45899.15,1.98,0.86,0.19,1.21,4.82,0.03
25,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,58426.37,2.52,1.42,0.40,1.33,-1.05,0.03
26,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212383830,69852.94,3.01,0.84,0.19,1.58,14.84,0.02
27,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institution,130685060000,18450.67,0.80,1.34,0.29,1.70,-13.78,0.03
28,NAUKRI,Info Edge (India) Ltd.,Internet & Catalogue Retail,1296841200,39890.80,1.72,1.33,0.29,2.15,-17.59,0.04
29,JSWENERGY,JSW Energy Ltd.,Power Generation,17477684510,26099.94,1.13,1.36,0.29,1.76,6.08,0.04
30,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel,1020088097,46365.93,2.00,1.45,0.38,1.33,9.91,0.03
31,LTM,LTIMindtree Ltd.,Computers - Software & Consulting,296489245,41262.48,1.78,1.12,0.24,2.27,-25.32,0.03
32,LICI,Life Insurance Corporation of India,Life Insurance,63249977010,18803.05,0.81,0.93,0.23,2.25,3.02,0.02
33,LODHA,Lodha Developers Ltd.,"Residential, Commercial Projects",9987045130,27722.80,1.20,1.94,0.43,2.81,1.72,0.02
