Annexure II- Nifty Next 50 Index : January 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,5805.23,0.91,0.57,0.07,3.18,4.99,0.06
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,9412.2,1.47,0.48,0.08,1.35,4.25,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,12913.17,2.02,1.22,0.26,1.95,13.3,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1077443800,21785.43,3.41,1.32,0.22,2.47,23.12,0.03
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795806445,19631.32,3.08,0.87,0.15,1.43,12.12,0.04
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2233627930,8943.45,1.4,1.04,0.31,1.89,12,0.03
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11498.49,1.8,1.09,0.26,1.25,2.8,0.03
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240001630,18407.17,2.88,0.84,0.2,1.14,8.46,0.03
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,8971.82,1.41,0.71,0.11,2.34,-1.71,0.04
10,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,9820.63,1.54,0.8,0.16,1.41,6.46,0.03
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,11829.97,1.85,0.46,0.11,0.69,-1.87,0.03
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9938.68,1.56,0.6,0.1,1.46,6.79,0.04
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11395.29,1.79,0.77,0.17,1.41,2.47,0.05
14,DLF,DLF Ltd.,CONSTRUCTION,3567955676,6018.7,0.94,2.25,0.42,2.36,21.14,0.04
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,15557.75,2.44,0.65,0.15,0.9,-0.77,0.04
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,8921.02,1.4,0.73,0.09,2.01,-10.67,0.02
17,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6319.02,0.99,0.44,0.05,1.91,8.37,0.05
18,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6083.78,0.95,0.38,0.06,1.02,3.26,0.06
19,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5768.49,0.9,0.32,0.07,0.43,-0.21,0.07
20,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,13619.66,2.13,0.79,0.19,1.13,0.61,0.03
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340600816,19915.93,3.12,1.11,0.32,1.12,4.66,0.04
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,624855342,9973.88,1.56,1.14,0.27,1.48,22.73,0.04
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,10158817500,25951.87,4.07,1.23,0.27,2,18.14,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,7577.69,1.19,0.96,0.15,1.71,17.03,0.03
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,846702744,23198.58,3.64,1.33,0.31,2.01,15.44,0.04
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,48559049640,37363.28,5.85,1.07,0.25,2.08,12.72,0.03
27,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3614683630,3590.47,0.56,0.72,0.09,1.32,9.93,0.04
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,21074.78,3.3,0.96,0.24,2.34,21.75,0.05
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,16761.37,2.63,1.53,0.45,1.92,-1.1,0.02
30,MARICO,Marico Ltd.,PERSONAL CARE,1290171198,13275.86,2.08,0.73,0.17,0.98,-1.23,0.04
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1403526327,17233.13,2.7,1.74,0.38,1.52,1.65,0.03
32,NHPC,NHPC Ltd.,POWER,1.11E+11,6730.41,1.05,0.93,0.19,2.97,9.45,0.1
33,NMDC,NMDC Ltd.,MINING,3163890474,11378.14,1.78,1.26,0.21,1.74,16.57,0.04
34,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,8015146070,6077.04,0.95,0.46,0.11,1.54,-2.78,0.04
35,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,425146005,7338.62,1.15,0.52,0.13,1.12,6.2,0.05
36,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,512675330,10358.61,1.62,0.79,0.22,1.68,14.19,0.04
37,PEL,Piramal Enterprises Ltd.,PHARMACEUTICALS,345126200,13688.03,2.14,0.74,0.08,2.04,3.87,0.05
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,10995.41,1.72,1.28,0.25,1.97,6.72,0.05
39,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,6546.32,1.03,0.16,0.01,1.13,-1.83,0.12
40,PNB,Punjab National Bank,BANKS,4255936516,10095.61,1.58,1.65,0.3,1.69,17.41,0.04
41,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,348372250,13461.19,2.11,0.93,0.18,1.74,4.91,0.05
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,13863.44,2.17,1.26,0.24,1.7,11.87,0.04
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,10208.19,1.6,1,0.34,1.28,3.07,0.04
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,6562.37,1.03,1.52,0.31,2,28.9,0.05
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15106.88,2.37,1.05,0.26,1.78,10.79,0.04
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,6379.45,1,0.89,0.19,1.19,-1.31,0.04
