Annexure II-  Nifty Next 50 Index : January 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,30720.96,1.36,1.39,0.24,2.33,-15.01,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,27013.18,1.19,1.66,0.16,3.45,-7.18,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,30493.45,1.35,1.83,0.20,3.61,-4.15,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,40285.75,1.78,1.58,0.18,4.81,-3.07,0.04
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,17783.27,0.79,1.36,0.15,2.63,-15.50,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,34365.01,1.52,1.67,0.44,2.28,-4.29,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,54130.99,2.39,0.27,0.01,2.95,2.89,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,49915.29,2.21,0.50,0.05,2.43,-2.75,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,39696.71,1.75,1.64,0.41,2.06,-11.29,0.02
10,BHEL,Bharat Heavy Electricals Ltd.,POWER EQUIPMENT,6964126710,26673.62,1.18,2.13,0.39,3.35,-9.29,0.02
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,24853.21,1.10,0.85,0.20,1.70,-15.75,0.04
12,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,31358.23,1.39,1.76,0.45,2.45,-6.84,0.03
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1681562230,53654.93,2.37,1.18,0.23,2.85,8.42,0.03
14,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,47677.86,2.11,1.70,0.48,2.23,-9.68,0.03
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1772315023,31243.69,1.38,0.25,0.02,1.35,4.51,0.02
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,70737.97,3.13,0.52,0.08,2.03,-8.54,0.03
17,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,47769.16,2.11,1.75,0.38,2.41,-7.26,0.02
18,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023007847,42141.95,1.86,0.41,0.04,1.37,3.62,0.03
19,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626941732,39538.52,1.75,0.81,0.20,1.91,-6.50,0.03
20,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,74669.00,3.30,1.74,0.34,2.67,-5.78,0.02
21,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4951549000,44336.87,1.96,0.74,0.18,1.83,3.96,0.04
22,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14452047710,23989.28,1.06,0.62,0.11,1.68,-5.93,0.04
23,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,48070.81,2.12,1.55,0.36,2.12,-5.81,0.02
24,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,24736.76,1.09,1.38,0.40,2.29,4.50,0.03
25,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,26898.62,1.19,1.54,0.19,2.83,1.27,0.03
26,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,60333.58,2.67,1.16,0.24,3.12,-10.99,0.03
27,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3863903490,84714.14,3.74,0.95,0.19,2.02,-5.05,0.02
28,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,27103.55,1.20,1.57,0.24,3.09,-20.86,0.04
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,29992.60,1.33,1.22,0.28,2.11,-14.95,0.03
30,JIOFIN,Jio Financial Services Ltd.,NBFC,63531416230,79183.98,3.50,1.22,0.20,2.57,-19.10,0.04
31,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296285542,54628.47,2.41,0.66,0.12,2.30,5.88,0.03
32,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,18716.14,0.83,1.39,0.28,1.72,-5.22,0.02
33,LODHA,Macrotech Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9968347540,33488.61,1.48,1.30,0.16,3.21,-13.31,0.03
34,NHPC,NHPC Ltd.,POWER,100450348050,25421.57,1.12,1.52,0.24,2.70,-0.17,0.03
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508646055,44088.11,1.95,0.43,0.07,1.76,-1.12,0.03
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,61349.03,2.71,2.30,0.42,2.93,-5.80,0.03
37,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,34797.44,1.54,1.64,0.38,2.38,-1.54,0.03
38,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,56034.82,2.48,2.26,0.39,3.10,-10.16,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,41584.96,1.84,1.27,0.27,2.22,-9.52,0.03
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,37322.91,1.65,0.71,0.17,1.92,8.18,0.04
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,53555.49,2.37,1.46,0.32,2.36,-7.08,0.03
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,57569.01,2.54,1.09,0.30,2.33,3.77,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,61448.01,2.72,1.62,0.42,2.32,-7.11,0.03
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,30655.03,1.36,0.45,0.07,1.41,-2.71,0.03
45,UNIONBANK,Union Bank of India,PUBLIC SECTOR BANK,76336056070,22253.92,0.98,1.64,0.34,2.87,-4.05,0.03
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,41940.84,1.85,0.62,0.11,2.26,-12.39,0.03
