Annexure II-  Nifty Next 50 Index : January 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,29173.81,1.29,1.22,0.23,2.99,7.90,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,30954.87,1.37,1.72,0.30,3.54,-12.90,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,26053.36,1.15,1.84,0.26,3.84,-16.04,0.03
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,53259.28,2.36,1.23,0.12,1.91,-5.32,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,31024.40,1.37,0.95,0.25,2.06,-8.30,0.02
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,54177.05,2.40,0.76,0.12,1.67,-2.45,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,46630.06,2.06,1.17,0.16,0.90,-4.66,0.02
8,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance Company,83323346190,8481.90,0.38,0.93,0.20,1.35,-3.71,0.03
9,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,55390.33,2.45,0.95,0.19,1.49,1.18,0.03
10,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,70454.98,3.12,1.06,0.23,1.41,-5.08,0.02
11,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,31601.94,1.40,0.90,0.20,2.39,1.36,0.03
12,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,68927.02,3.05,0.49,0.08,1.32,-2.83,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149715218,39992.25,1.77,1.42,0.24,3.13,-9.85,0.03
14,CANBK,Canara Bank,Public Sector Bank,18141302520,49563.42,2.19,0.96,0.16,1.77,-4.84,0.03
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1687706982,68812.93,3.05,1.30,0.23,1.49,-4.15,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,40670.38,1.80,1.77,0.49,2.03,-7.51,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,76671.26,3.40,0.82,0.13,1.56,-5.34,0.02
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,44999.22,1.99,1.24,0.31,1.69,-2.83,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023244581,46308.85,2.05,0.55,0.07,1.46,-5.57,0.03
20,HAVELLS,Havells India Ltd.,Consumer Electronics,627256842,32318.70,1.43,0.83,0.17,1.97,-9.82,0.03
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,87404.51,3.87,1.12,0.18,1.96,5.26,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,27170.11,1.20,1.31,0.16,4.09,2.62,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,31228.44,1.38,0.77,0.09,1.63,-4.43,0.03
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,General Insurance,4980048050,43789.46,1.94,0.87,0.18,1.18,-7.54,0.03
25,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,59048.26,2.61,1.51,0.37,1.49,-8.76,0.02
26,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212000000,60824.64,2.69,0.93,0.22,1.37,-1.93,0.02
27,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institution,130685000000,21399.57,0.95,1.48,0.30,1.91,-3.63,0.03
28,NAUKRI,Info Edge (India) Ltd.,Internet & Catalogue Retail,1296841200,48406.72,2.14,1.48,0.33,1.52,-6.31,0.03
29,JSWENERGY,JSW Energy Ltd.,Power Generation,17477684510,24604.31,1.09,1.41,0.23,2.54,-4.69,0.04
30,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel,1020088097,42184.72,1.87,1.43,0.33,2.18,7.42,0.03
31,LTIM,LTIMindtree Ltd.,Computers - Software & Consulting,296489245,55249.36,2.45,1.30,0.31,2.16,-1.47,0.03
32,LICI,Life Insurance Corporation of India,Life Insurance,63249977010,18251.84,0.81,0.84,0.20,0.99,-3.56,0.02
33,LODHA,Lodha Developers Ltd.,"Residential, Commercial Projects",9987045130,27252.92,1.21,1.79,0.34,2.48,-8.46,0.03
34,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Ship Building & Allied Services,2016900000,19492.71,0.86,1.33,0.13,2.21,3.32,0.02
35,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,1017714032,44317.17,1.96,0.54,0.14,1.17,-3.46,0.02
36,PFC,Power Finance Corporation Ltd.,Financial Institution,33001017600,55082.32,2.44,1.66,0.41,2.24,6.74,0.03
37,PNB,Punjab National Bank,Public Sector Bank,22985886536,43045.92,1.91,1.09,0.23,1.83,1.30,0.03
38,RECLTD,REC Ltd.,Financial Institution,26332240000,45350.45,2.01,1.89,0.49,2.10,2.05,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Components & Equipments,10554442601,50004.04,2.21,1.73,0.35,1.66,-5.87,0.02
40,SHREECEM,Shree Cement Ltd.,Cement & Cement Products,360807480,35989.01,1.59,0.75,0.21,1.10,1.54,0.02
41,ENRIN,Siemens Energy India Ltd.,Heavy Electrical Equipment,712241010,21936.40,0.97,-,-,2.90,-2.85,0.05
42,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,712241010,27334.03,1.21,0.48,0.03,1.89,1.24,0.02
43,SOLARINDS,Solar Industries India Ltd.,Explosives,180980110,32747.03,1.45,1.04,0.14,2.80,10.02,0.03
44,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,475087114,86103.70,3.81,1.13,0.28,1.49,-1.14,0.03
45,TATAPOWER,Tata Power Co. Ltd.,Integrated Power Utilities,3195339547,61341.09,2.72,1.29,0.44,1.67,-3.50,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,41310.37,1.83,0.69,0.14,1.55,2.88,0.02
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,40133.23,1.78,0.69,0.13,1.29,-5.62,0.02
48,VBL,Varun Beverages Ltd.,Other Beverages,6763977538,64311.65,2.85,1.04,0.14,1.45,-3.80,0.03
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,115299.97,5.11,1.57,0.30,3.37,12.76,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,22091.51,0.98,0.88,0.22,1.04,-3.18,0.02
,,,,,2258171.48,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 03-Feb-2025 to 30-Jan-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jan-2026 to 30-Jan-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 30-Jan-2026,,,,,,,,,,,
