Annexure II- Nifty Next 50 Index : July 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,50512.84,1.83,1.26,0.20,1.78,-7.00,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,13462.16,0.49,1.69,0.16,1.67,14.11,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,26431.92,0.96,2.08,0.27,1.47,3.26,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,26701.71,0.97,1.81,0.22,1.29,2.21,0.04
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,9670.98,0.35,1.85,0.18,0.86,-0.05,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,48532.67,1.76,1.75,0.42,1.35,1.45,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,29015.11,1.05,0.23,0.02,1.11,4.65,0.04
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,16398.71,0.59,0.41,0.04,2.19,12.69,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,57016.71,2.07,1.78,0.41,1.73,-7.90,0.03
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165796049,18745.99,0.68,0.76,0.14,0.91,10.06,0.03
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,136683.44,4.95,1.77,0.36,1.98,3.32,0.02
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,36123.24,1.31,0.56,0.10,1.31,2.62,0.03
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,46483.76,1.69,1.62,0.36,1.51,-3.98,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1680101104,71842.67,2.60,1.02,0.18,1.67,-0.48,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,54906.48,1.99,0.37,0.04,1.16,20.01,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,69093.73,2.50,1.53,0.39,1.67,7.81,0.04
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772311381,44891.69,1.63,0.27,0.03,1.30,5.83,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,78434.83,2.84,1.89,0.38,1.81,9.76,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022820329,65833.89,2.39,0.50,0.06,1.73,4.72,0.03
20,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626919070,56010.29,2.03,0.62,0.10,1.61,1.51,0.03
21,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,111304.95,4.03,1.62,0.28,2.32,-6.49,0.03
22,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4931507070,58580.89,2.12,0.61,0.11,1.23,12.20,0.04
23,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14418401860,34593.06,1.25,0.67,0.10,2.14,21.50,0.05
24,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,141212383830,80535.83,2.92,1.49,0.28,1.75,9.68,0.02
25,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,36252.37,1.31,1.38,0.24,1.37,-0.16,0.03
26,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,130685060000,13915.36,0.50,1.91,0.14,3.38,11.41,0.03
27,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1293841200,65868.45,2.39,1.06,0.20,1.68,3.56,0.03
28,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3859796890,89621.86,3.25,0.93,0.18,1.16,5.77,0.03
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,43819.44,1.59,1.35,0.29,1.77,-5.38,0.03
30,JIOFIN,Jio Financial Services Ltd.,NBFC,63532841880,42624.55,1.55,0.00,0.00,1.09,-8.28,0.03
31,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,8764.94,0.32,1.33,0.20,2.00,18.95,0.03
32,MARICO,Marico Ltd.,PERSONAL CARE,1294406703,42141.97,1.53,0.19,0.01,1.63,9.97,0.03
33,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508609340,58703.73,2.13,0.39,0.05,0.98,0.87,0.02
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,97620.05,3.54,2.29,0.33,2.12,14.78,0.04
35,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22022031116,44493.59,1.61,1.79,0.35,1.82,0.56,0.03
36,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,96271.98,3.49,2.29,0.31,2.43,22.62,0.04
37,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9510339340,25873.92,0.94,0.61,0.14,1.25,0.31,0.04
38,SRF,SRF Ltd.,CHEMICALS - SPECIALITY,2964248250,46385.23,1.68,0.93,0.26,1.44,8.57,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,6776421366,64333.54,2.33,0.96,0.17,2.01,3.29,0.02
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,44714.72,1.62,0.61,0.12,1.36,-0.47,0.03
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,76676.56,2.78,1.21,0.26,1.98,-7.42,0.02
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,71141.22,2.58,0.69,0.13,1.32,7.03,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,92752.52,3.36,1.60,0.35,1.75,2.95,0.03
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,34995.42,1.27,0.38,0.04,1.79,13.63,0.03
45,TRENT,Trent Ltd.,SPECIALITY RETAIL,355487461,155386.85,5.63,0.70,0.07,1.87,6.55,0.02
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,49647.58,1.80,0.53,0.08,1.44,10.72,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6497133565,29786.41,1.08,0.62,0.0756,2.08,-3.20,0.03
48,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,91513.22,3.32,1.24,0.19,1.67,-0.72,0.02
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8826985307,55682.83,2.02,0.91,0.10,1.90,14.40,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,37882.17,1.37,0.65,0.10,1.63,16.13,0.03
,,,,,2758678.07,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2023 to 31-Jul-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2023 to 31-Jul-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jul-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
