Annexure II-  Nifty Next 50 Index : July 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,28816.39152,1.24659766,1.22497838,0.24838042,1.22484295,-9.3824521,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,29180.80003,1.26236198,1.54398856,0.15791287,1.09927335,-8.31868443,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,30100.64632,1.30215455,1.47698885,0.13646041,1.67568549,-3.98790952,0.02
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,46165.33317,1.99711322,1.20630311,0.13369547,1.20327929,0.40119505,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,38674.03302,1.67303943,1.06191345,0.26798074,1.29922626,2.64092129,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,62621.6247,2.70901272,0.56741994,0.06139084,1.82051632,-2.39919493,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,60286.62552,2.60800061,1.08193376,0.16049525,1.26515786,-2.893108,0.04
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83323346190,10569.0955,0.45721928,1.04878934,0.1510912,0.96942074,-6.5490357,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,43922.37627,1.90008286,1.07931166,0.255144,1.10478883,-4.38540076,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,63652.09962,2.75359108,1.12035878,0.29088911,1.44163847,-0.798313,0.02
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,34926.28707,1.51091187,0.98141184,0.27865587,1.89211607,23.57711138,0.03
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,67880.35737,2.93650559,0.49789075,0.10683228,1.01806851,-1.36728764,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,POWER EQUIPMENT,3058157768,42273.9641,1.82877252,1.42008179,0.24823501,1.2933661,-2.99787437,0.02
14,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,36058.04021,1.55987153,1.31266889,0.30291628,1.71511797,-6.08581436,0.02
