Annexure II- Nifty Next 50 Index : June 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,54312.73,2.07,1.20,0.18,3.76,2.08,0.08
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,11154926830,11797.80,0.45,1.72,0.16,5.24,-11.17,0.05
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,25596.26,0.97,2.14,0.27,5.46,-6.26,0.04
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,26125.47,0.99,1.83,0.21,5.50,-4.92,0.06
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,9675.84,0.37,1.89,0.18,4.83,-13.79,0.04
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,47840.32,1.82,1.73,0.41,4.74,5.71,0.10
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,27726.59,1.06,0.24,0.02,2.84,9.64,0.05
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,14552.06,0.55,0.36,0.04,1.72,7.33,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,61905.78,2.36,1.78,0.41,4.99,3.96,0.10
10,BERGEPAINT,Berger Paints India Ltd.,PAINTS,1165796049,17033.21,0.65,0.76,0.14,1.65,9.61,0.02
11,BEL,Bharat Electronics Ltd.,DEFENSE,7309778829,132293.83,5.04,1.75,0.36,5.33,3.36,0.10
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,35199.93,1.34,0.53,0.10,1.82,12.14,0.04
13,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,48412.65,1.84,1.61,0.35,4.13,1.25,0.11
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1680101104,72192.60,2.75,0.97,0.17,2.48,14.70,0.03
15,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,45751.11,1.74,0.33,0.03,1.75,6.99,0.03
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,64089.36,2.44,1.51,0.38,3.67,1.12,0.10
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772311381,42420.07,1.61,0.29,0.03,1.94,10.20,0.02
18,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,71462.70,2.72,1.87,0.38,5.42,7.46,0.10
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022820329,62868.34,2.39,0.52,0.07,2.17,8.30,0.04
