Annexure II-  Nifty Next 50 Index : June 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,31800.01246,1.33774671,1.21902912,0.24137855,1.14369045,1.83386367,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,31828.51364,1.33894568,1.49448981,0.14751839,1.58432482,1.67781365,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,31350.89151,1.31885332,1.42621797,0.12941535,1.80610182,1.10908464,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,45980.86023,1.93429938,1.1919601,0.13183413,2.11490994,7.71423317,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,37678.96131,1.58505933,1.07511366,0.27769704,1.25602374,4.32700994,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,64160.97148,2.69909103,0.51409707,0.05372864,1.38765821,9.25014367,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,62082.74642,2.61166532,1.08613217,0.15553709,1.7420905,7.19397644,0.04
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83323346190,11309.77683,0.47577392,1.03674551,0.14610229,1.15901695,-0.12295082,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,45936.89313,1.9324498,1.0670817,0.24078326,1.30576379,-0.3085554,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,64164.33182,2.6992324,1.09799451,0.27020326,1.86826895,4.25565327,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,28262.74759,1.18894286,0.99637283,0.32367132,0.91581153,4.02673882,0.03
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,68821.34309,2.89514117,0.49240863,0.10628907,0.91068396,6.1791126,0.02
