Annexure II-  Nifty Next 50 Index : June 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,36794.06,1.51,1.03,0.21,1.60,-3.06,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,48842.23,2.00,1.62,0.30,1.99,-1.45,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,49887.59,2.05,1.82,0.31,2.40,1.14,0.03
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,92591.15,3.80,1.12,0.11,2.03,-8.05,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4969634372,26227.10,1.08,1.53,0.55,1.77,-5.81,0.03
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6522301570,70395.16,2.89,0.64,0.12,1.36,8.05,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,45779.73,1.88,1.16,0.29,1.72,2.34,0.03
8,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,50395.35,2.07,1.38,0.46,1.96,1.45,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,61348.16,2.52,1.37,0.37,2.03,1.83,0.02
10,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,34512.96,1.42,1.24,0.31,1.41,8.94,0.02
11,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,60453.34,2.48,0.63,0.16,0.92,-1.11,0.02
12,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149958498,65105.40,2.67,1.17,0.24,1.84,3.78,0.03
13,CANBK,Canara Bank,Public Sector Bank,18141302520,42068.33,1.73,1.39,0.38,1.88,-4.04,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1704977014,77214.13,3.17,1.69,0.46,2.53,16.39,0.02
15,CUMMINSIND,Cummins India Ltd.,"Compressors, Pumps & Diesel Engines",554400000,76236.02,3.13,0.99,0.21,1.67,-3.77,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,39666.02,1.63,1.68,0.60,2.16,4.99,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,83377.71,3.42,0.60,0.13,1.27,-1.32,0.03
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,46658.20,1.91,1.13,0.36,1.30,5.44,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023244581,40476.85,1.66,0.77,0.17,1.26,-1.88,0.04
20,HDFCAMC,HDFC Asset Management Company Ltd.,Asset Management Company,2143266270,53942.84,2.21,1.53,0.42,2.26,-0.79,0.03
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,82882.54,3.40,1.03,0.25,1.59,1.80,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,25567.80,1.05,1.27,0.18,2.26,-15.77,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,27093.96,1.11,0.77,0.11,1.77,-0.96,0.03
24,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,62519.37,2.56,1.35,0.52,1.43,9.12,0.03
25,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212383830,51930.85,2.13,1.20,0.35,1.82,-0.61,0.02
26,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institution,130685060000,18159.04,0.74,1.40,0.39,1.91,-7.16,0.02
27,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel,1020088097,39159.49,1.61,1.20,0.31,1.43,-12.19,0.03
