Annexure II-  Nifty Next 50 Index : March 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,31076.21,1.46,0.95,0.24,2.13,-2.17,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,32342.10,1.52,1.67,0.39,2.62,-7.58,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,26976.47,1.27,1.74,0.33,2.49,-14.83,0.03
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,62045.65,2.91,1.14,0.13,2.42,7.37,0.05
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,24402.32,1.14,1.17,0.43,2.72,-19.81,0.03
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,58092.33,2.72,0.68,0.15,1.83,2.84,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,37758.31,1.77,1.23,0.27,2.11,-19.05,0.03
8,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,45806.85,2.15,1.09,0.29,2.50,-23.09,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,56790.51,2.66,1.10,0.29,2.74,-27.09,0.03
10,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,24861.32,1.17,1.02,0.29,2.43,-21.08,0.03
11,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,63712.88,2.99,0.57,0.15,1.50,-9.65,0.02
12,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149835218,44816.21,2.10,1.32,0.31,2.46,-9.67,0.03
13,CANBK,Canara Bank,Public Sector Bank,18141302520,41504.23,1.95,1.14,0.27,2.81,-21.55,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1703699256,57854.90,2.71,1.39,0.35,2.50,-21.73,0.03
15,CUMMINSIND,Cummins India Ltd.,"Compressors, Pumps & Diesel Engines",554400000,60617.25,2.84,1.08,0.29,2.59,-8.13,0.03
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,32247.06,1.51,1.67,0.57,2.51,-16.52,0.04
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,75362.50,3.54,0.67,0.13,1.23,-7.20,0.03
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,37041.88,1.74,1.12,0.35,2.61,-18.77,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023244581,39503.82,1.85,0.62,0.13,2.08,-19.11,0.03
20,HDFCAMC,HDFC Asset Management Company Ltd.,Asset Management Company,2142000905,45029.00,2.11,1.46,0.46,2.63,-17.87,0.03
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,65975.42,3.09,0.90,0.20,1.86,-10.89,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,21707.77,1.02,1.40,0.22,2.89,-16.84,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,25281.06,1.19,0.82,0.14,1.93,-17.89,0.04
24,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,49995.23,2.35,1.42,0.49,2.51,-14.41,0.02
25,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212383830,50447.39,2.37,0.91,0.25,2.18,-27.78,0.02
26,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institution,130685060000,17497.11,0.82,1.36,0.37,2.68,-15.76,0.03
27,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel,1020088097,41108.54,1.93,1.46,0.41,3.25,-10.54,0.03
28,LTM,LTIMindtree Ltd.,Computers - Software & Consulting,296493321,37138.59,1.74,1.07,0.28,2.10,-10.04,0.03
29,LODHA,Lodha Developers Ltd.,"Residential, Commercial Projects",9988921240,19007.83,0.89,1.73,0.45,2.53,-31.50,0.03
30,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Ship Building & Allied Services,2016900000,15645.62,0.73,1.46,0.24,3.69,-7.18,0.02
31,MUTHOOTFIN,Muthoot Finance Ltd.,Non Banking Financial Company (NBFC),4014684760,33794.35,1.59,0.94,0.12,2.87,-5.77,0.03
32,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,1017766288,39741.81,1.86,0.80,0.33,2.31,-13.87,0.02
33,PFC,Power Finance Corporation Ltd.,Financial Institution,33001017600,55103.97,2.58,1.36,0.41,2.85,-8.29,0.03
34,PNB,Punjab National Bank,Public Sector Bank,22985886536,34576.33,1.62,1.15,0.33,2.58,-22.31,0.03
35,RECLTD,REC Ltd.,Financial Institution,26332240000,38001.30,1.78,1.54,0.51,2.88,-12.78,0.04
36,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Components & Equipments,10554442601,46375.49,2.18,1.71,0.46,3.17,-21.19,0.03
37,SHREECEM,Shree Cement Ltd.,Cement & Cement Products,360807480,30702.43,1.44,0.89,0.34,2.28,-11.72,0.03
38,ENRIN,Siemens Energy India Ltd.,Heavy Electrical Equipment,712241010,22626.07,1.06,-,-,2.27,-12.47,0.05
39,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,712241010,25867.89,1.21,0.68,0.08,2.55,-14.15,0.03
40,SOLARINDS,Solar Industries India Ltd.,Explosives,180980110,29334.65,1.38,0.95,0.17,2.44,-10.57,0.03
41,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,475087114,78776.17,3.70,1.20,0.41,2.77,-13.07,0.03
42,TATACAP,Tata Capital Ltd.,Non Banking Financial Company (NBFC),42448690370,13137.95,0.62,0.92,0.24,2.41,-8.57,0.04
43,TMCV,Tata Motors Ltd.,Commercial Vehicles,7364662746,82280.13,3.86,-,-,3.75,-21.87,0.05
44,TATAPOWER,Tata Power Co. Ltd.,Integrated Power Utilities,3195339547,63228.48,2.97,1.06,0.41,1.99,0.32,0.03
45,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,44017.44,2.06,0.51,0.11,1.17,-2.61,0.02
46,UNIONBANK,Union Bank of India,Public Sector Bank,76336056070,31639.78,1.48,1.27,0.26,3.16,-18.82,0.03
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,35899.42,1.68,0.76,0.21,2.60,-11.73,0.04
48,VBL,Varun Beverages Ltd.,Other Beverages,6764188788,52420.42,2.46,1.03,0.25,2.42,-14.91,0.04
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,110950.50,5.20,1.27,0.28,2.11,-8.85,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,21732.56,1.02,0.85,0.27,1.76,-5.48,0.03
,,,,,2131853.48,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2025 to 30-Mar-2026,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 02-Mar-2026 to 30-Mar-2026,,,,,,,,,,,
,,,,,,,,,,,
*Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs. Impact Cost for Nifty Next 50 is the weightaged average impact cost for the month.,,,,,,,,,,,
,,,,,,,,,,,
*Last day of trading was 30-Mar-2026,,,,,,,,,,,
