Annexure II-  Nifty Next 50 Index : May 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,31224.81,1.34,1.35,0.32,1.49,8.12,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,31303.3,1.34,1.72,0.22,2.65,-3.61,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,31007,1.33,1.79,0.23,2.91,12.62,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,42687.82,1.83,1.56,0.24,2.49,2.21,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,36770.61,1.58,1.43,0.42,1.28,2.56,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,58707.67,2.52,0.39,0.04,1.4,-4.71,0.04
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,57916.41,2.48,0.85,0.13,3.39,12.04,0.04
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83281467010,11318.01,0.49,1.03,0.14,1.3,0,0.03
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,46088.75,1.98,1.48,0.4,2.66,-0.15,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,61545.18,2.64,1.21,0.36,1.59,2.69,0.02
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,27168.55,1.16,0.84,0.27,1.35,6.65,0.03
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,64815.48,2.78,0.32,0.06,1.23,1.32,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,POWER EQUIPMENT,3057738888,43862.5,1.88,1.35,0.26,2.16,9.56,0.03
