Annexure II-  Nifty Next 50 Index : May 2026,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,37935.84,1.51,1.01,0.21,2.89,0.32,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,52351.37,2.09,1.63,0.31,2.39,12.74,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16471761550,49325.93,1.96,1.81,0.31,2.62,20.23,0.03
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,100379.24,4.00,1.08,0.11,2.76,9.70,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,27236.34,1.08,1.47,0.53,1.80,0.82,0.03
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,59526.73,2.37,0.66,0.12,1.29,-11.59,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,44730.60,1.78,1.14,0.27,1.47,0.92,0.03
8,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,49673.42,1.98,1.28,0.42,1.47,1.91,0.03
9,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,60246.45,2.40,1.34,0.36,2.44,-0.78,0.02
10,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,31676.67,1.26,1.21,0.30,1.88,1.75,0.03
11,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,61145.80,2.44,0.64,0.17,1.44,-9.11,0.02
12,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149835218,62768.69,2.50,1.16,0.23,2.43,12.80,0.02
13,CANBK,Canara Bank,Public Sector Bank,18141302520,43975.32,1.75,1.36,0.37,1.85,-2.86,0.03
14,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1703699256,65670.25,2.62,1.59,0.42,2.24,-1.61,0.02
15,CUMMINSIND,Cummins India Ltd.,"Compressors, Pumps & Diesel Engines",554400000,79218.25,3.16,0.98,0.22,2.93,11.67,0.03
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,37780.43,1.50,1.61,0.57,1.81,0.61,0.03
