Annexure II-  Nifty Next 50 Index : November 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,51518.42625,2.06232569,1.27690474,0.21728901,2.15815216,-0.11037156,0.01
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,9531.450521,0.38155194,1.70273137,0.14769661,7.73347178,-13.90083999,0.73
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,14793.41677,0.59219285,1.89979149,0.18700131,8.29162686,-17.16824126,0.46
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,15021.08302,0.60130652,1.63988881,0.21197237,5.65728386,-6.394466,0.05
5,ATGL,Adani Total Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1099810083,6975.302236,0.27922718,1.52176781,0.13361646,6.45387781,13.08554326,0.05
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,42488.78675,1.70086167,1.68343708,0.41824545,3.29008631,-8.44888468,0.03
7,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,17009.27047,0.68089532,0.24156163,0.01547331,1.3161572,-5.6249523,0.03
8,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,14035.67579,0.56185984,0.43049533,0.04765321,1.71932511,2.13425045,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,60850.04069,2.43587802,1.69012766,0.44332694,2.12366014,-1.81702263,0.03
10,BHEL,Bharat Heavy Electricals Ltd.,POWER EQUIPMENT,6964126710,42726.76204,1.71038802,1.96686336,0.34148688,2.31838808,5.05857741,0.03
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,40155.76355,1.6074688,0.73277106,0.16588222,1.58187702,-0.44246276,0.04
12,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,45529.28652,1.82257542,1.68547078,0.44010507,1.89150342,-0.62347784,0.03
13,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1680804372,68179.8434,2.72929615,1.06315629,0.21565853,1.90665204,-3.04851699,0.03
14,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,69910.57605,2.79857883,1.67046639,0.46949202,2.09556266,0.37811795,0.03
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1772311381,41221.89744,1.65014703,0.31531437,0.03862411,0.98087678,-2.37962963,0.02
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,103879.8826,4.15839858,0.52706911,0.08858961,1.46161037,4.8058883,0.02
17,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,71412.71997,2.85871091,1.81116948,0.39233089,2.40836749,-0.26501325,0.02
18,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022894947,62094.40422,2.48569093,0.48058843,0.06187089,1.39466013,-3.00042863,0.03
19,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626919070,57590.79639,2.30540775,0.71277213,0.1689854,1.18448053,4.85839844,0.03
20,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,112723.3475,4.51240988,1.61800359,0.30837565,2.24731267,5.4195022,0.02
21,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4945671880,58710.65348,2.35023656,0.61638792,0.13385185,1.20222813,-2.89462018,0.04
22,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14443038120,35977.13687,1.44019488,0.59038758,0.0972903,1.06156777,-5.5802969,0.04
23,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,1.41E+11,68849.77901,2.75611424,1.54425354,0.33963209,1.77088721,-2.79764409,0.02
24,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,TRAVEL,1600000000,32584.85499,1.304399,1.38728099,0.30023184,1.45982192,-0.65140631,0.03
25,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,1.31E+11,8263.846302,0.33080868,1.64178794,0.16627469,2.32619469,-4.24467812,0.03
26,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,85314.72025,3.4152196,1.09305741,0.23911424,2.59834655,10.94416708,0.03
27,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3862612090,100365.1003,4.0176989,0.90582045,0.18000325,1.6023714,8.05428748,0.02
28,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,10821.20257,0.43318179,1.5067823,0.22153117,2.37189204,-3.60745049,0.04
29,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,45589.57415,1.82498878,1.19951463,0.28302111,1.77646738,-1.52634438,0.03
30,JIOFIN,Jio Financial Services Ltd.,NBFC,63532841880,33399.37661,1.33700498,1.12635764,0.17593979,2.06830349,1.87713311,0.03
31,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296173110,75626.10685,3.02737631,0.62650073,0.10990687,1.63717396,8.08198429,0.03
32,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,6774.415425,0.27118552,1.430895,0.2603541,1.69933968,6.765614,0.03
33,LODHA,Macrotech Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9952404530,10793.86123,0.43208729,1.28776182,0.16739882,2.44271908,3.89222798,0.02
34,NHPC,NHPC Ltd.,POWER,1.00E+11,7943.149954,0.31797094,1.54378619,0.21931571,2.28854079,-1.40435835,0.03
35,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508613505,62173.89108,2.48887286,0.39112479,0.06661701,1.18046569,-2.53190712,0.02
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,95475.08956,3.82194769,2.26319793,0.39424636,2.67408385,8.8691065,0.04
37,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22022031116,41171.80037,1.6481416,1.70732044,0.39391761,2.22676695,7.15015322,0.03
38,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,88070.83329,3.52554911,2.29240696,0.38707295,2.10966152,1.91350938,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,60104.90018,2.40604942,1.13308104,0.22816519,2.1347438,-10.21829235,0.02
40,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,46479.55353,1.8606154,0.61290101,0.14048196,1.39384379,4.00563972,0.04
41,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,88508.36469,3.54306386,1.26402018,0.27584506,2.24501905,8.37908347,0.02
42,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,75808.26987,3.03466844,0.87425053,0.21444399,1.4280146,-2.37598749,0.03
43,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,92684.27574,3.71022907,1.53225241,0.35481674,1.96022697,-5.88569481,0.02
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,40684.50692,1.62863484,0.41555102,0.05770963,1.41663899,3.79529452,0.02
45,UNIONBANK,Union Bank of India,PUBLIC SECTOR BANK,76336056070,7277.024926,0.29130539,1.6061883,0.34449467,1.66472809,3.79790049,0.03
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,59785.56541,2.39326618,0.54264464,0.10052592,1.17182191,5.520668,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6497242062,23240.40367,0.9303328,0.65281621,0.07108736,2.26686299,3.92304475,0.04
48,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,101906.3917,4.07939809,1.25165757,0.24239069,1.59826457,-2.27346191,0.02
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8834375172,54035.38683,2.16308173,0.7176119,0.07080475,2.33193975,15.72285419,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,32005.44512,1.28120474,0.61825766,0.09492929,1.10381058,-3.52559301,0.02
,,,,,2498074.213,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2023 to 29-Nov-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2024 to 29-Nov-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Nov-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
