Annexure II-  Nifty Next 50 Index : November 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,27066.3706853900,1.1755905500,1.2083802500,0.2503676700,1.3531585900,-0.8620689700,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,34405.6388741100,1.4943615600,1.5383016000,0.2567809600,1.3756938300,0.8466842400,0.02
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16225962350,31999.8027002200,1.3898673800,1.6138442300,0.2124114200,1.6326269600,-8.0526315800,0.03
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,57889.1769175000,2.5143367100,1.2560610000,0.1070735400,1.3403456500,-6.5631929000,0.03
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,34339.3872603800,1.4914840100,0.9534998200,0.2536434000,0.8942476800,-2.6883622200,0.02
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,58661.1477508600,2.5478662000,0.7512175600,0.1028773600,0.9684021100,-3.7799446300,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,49648.0632242300,2.1563952800,1.2100778200,0.1455104700,3.0693988900,-6.5349914700,0.03
8,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance Company,83323346190,9758.1697766100,0.4238326700,1.0110258200,0.2133514100,0.4147012900,-4.6638236100,0.03
9,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,53350.3747782900,2.3172000900,0.9710136000,0.1952543200,1.4160394100,4.0948275900,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,69411.8283067000,3.0148072100,0.9770594600,0.2110644200,1.4730156300,0.6446188300,0.02
11,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,31229.6578296200,1.3564172000,0.8406787800,0.1986755900,1.2641124400,-3.0473889100,0.02
12,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,68748.7319432600,2.9860065300,0.4090895400,0.0643538600,1.1744318000,0.1627687800,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149362018,46063.1610970500,2.0006899900,1.4815585400,0.2602003500,1.2827910000,-8.6540419500,0.02
14,CANBK,Canara Bank,Public Sector Bank,18141302520,50962.0301571900,2.2134656300,1.0737778000,0.1977300000,1.0446328500,10.6504124400,0.02
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1682798064,72960.5486084900,3.1689409900,1.3593227300,0.2461891000,1.5900748200,2.3102310200,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,46289.4529843400,2.0105186700,1.6728686100,0.4626474300,1.1953578500,-4.3173553700,0.03
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,82042.5634177700,3.5634058000,0.7643229600,0.1188973900,1.1806821700,-3.8735529800,0.03
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,47366.3256549100,2.0572911500,1.2492274200,0.2986359300,1.3287324100,-3.6495951000,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023074343,45955.1002492400,1.9959965200,0.5276336500,0.0611037500,1.6793996900,2.4137314500,0.02
20,HAVELLS,Havells India Ltd.,Consumer Electronics,627206421,36251.5384604700,1.5745356700,0.8585884700,0.1925919900,1.0491822800,-3.4808220100,0.02
21,HAL,Hindustan Aeronautics Ltd.,Aerospace & Defense,3343875000,85995.2754964800,3.7350864100,1.2109759800,0.2113708600,1.6422153300,-2.9360229100,0.02
22,HINDZINC,Hindustan Zinc Ltd.,Zinc,8450638000,20975.2366368600,0.9110305300,1.4205873200,0.2536591000,1.6087420900,1.8258132200,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,Passenger Cars & Utility Vehicles,8125411000,33074.1074813800,1.4365283300,0.7913470200,0.1018139900,1.3269441600,-4.6213146300,0.03
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,General Insurance,4974405450,47427.8841709000,2.0599648600,0.8229944200,0.1540520900,1.1460802000,-1.1636655500,0.03
25,INDHOTEL,Indian Hotels Co. Ltd.,Hotels & Resorts,1423432227,65193.1668020100,2.8315754600,1.4484835600,0.3433225000,1.7809712500,0.3370180600,0.02
26,IOC,Indian Oil Corporation Ltd.,Refineries & Marketing,141212383830,60268.7630098000,2.6176907600,0.9759471600,0.2356419600,0.9141838300,-2.5015069300,0.02
27,IRFC,Indian Railway Finance Corporation Ltd.,Financial Institution,130685060000,20948.7681759300,0.9098809100,1.4170061100,0.2932813800,0.8405771800,-4.6549347200,0.02
28,NAUKRI,Info Edge (India) Ltd.,Internet & Catalogue Retail,1296841200,51560.3497238800,2.2394528100,1.5792635300,0.3504992000,1.3644552700,-3.4898062800,0.03
29,JSWENERGY,JSW Energy Ltd.,Power Generation,17477684510,26091.9915339600,1.1332697300,1.2981697500,0.2045250900,1.3831475000,-7.3561475000,0.04
30,JINDALSTEL,Jindal Steel Ltd.,Iron & Steel,1020088097,38927.2809028200,1.6907528600,1.2795834700,0.2854870000,1.3795263200,-2.0997375300,0.03
31,LTIM,LTIMindtree Ltd.,Computers - Software & Consulting,296416766,56368.1169081700,2.4482715600,1.2942694600,0.2958264200,1.5778152600,7.2477790500,0.03
32,LICI,Life Insurance Corporation of India,Life Insurance,63249977010,19800.3139383900,0.8599993800,0.8565022900,0.2058414100,1.2931385200,-0.0279423300,0.02
33,LODHA,Lodha Developers Ltd.,"Residential, Commercial Projects",9984534730,32169.0091595100,1.3972166300,1.6534968900,0.2783868400,1.2432586400,-4.1489272900,0.02
34,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Ship Building & Allied Services,2016900000,20301.0840864200,0.8817496400,1.3266379300,0.1250060900,1.5327669400,-1.8101868800,0.01
35,PIDILITIND,Pidilite Industries Ltd.,Specialty Chemicals,1017714032,45497.4999216600,1.9761212800,0.5556771200,0.1382302600,0.8626234300,1.7444275200,0.02
36,PFC,Power Finance Corporation Ltd.,Financial Institution,33001017600,52664.9457993400,2.2874294200,1.6709334100,0.4073420000,0.8548984200,-10.0557966500,0.02
37,PNB,Punjab National Bank,Public Sector Bank,22985886536,42808.6685610100,1.8593355900,1.0941257400,0.2458277300,1.0775097100,1.3101147400,0.02
38,RECLTD,REC Ltd.,Financial Institution,26332240000,44952.1551465500,1.9524349800,1.8419450800,0.4478180200,1.0459818400,-3.7214886000,0.03
39,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Components & Equipments,10554442601,51498.6341797300,2.2367722800,1.7119810200,0.3607652600,1.5714551900,10.3615143800,0.02
40,SHREECEM,Shree Cement Ltd.,Cement & Cement Products,360807480,35207.4784400100,1.5291883600,0.8592654800,0.2455536400,0.7309928800,-6.7467326000,0.03
41,ENRIN,Siemens Energy India Ltd.,Heavy Electrical Equipment,712241010,27866.9998361200,1.2103647800,-,-,1.6676436400,-0.8161727800,0.03
42,SIEMENS,Siemens Ltd.,Heavy Electrical Equipment,712241010,29057.7042785600,1.2620813900,0.6761958478,0.0536961521,1.6562793600,6.4819300500,0.02
43,SOLARINDS,Solar Industries India Ltd.,Explosives,180980110,32242.0971249900,1.4003911000,1.0130045700,0.1456149700,1.7659323400,-4.3666234300,0.03
44,TVSMOTOR,TVS Motor Company Ltd.,2/3 Wheelers,475087114,82663.2316190500,3.5903636700,1.2204568400,0.3118651600,1.0955104800,0.6498133200,0.02
45,TATAPOWER,Tata Power Co. Ltd.,Integrated Power Utilities,3195339547,65325.8020260100,2.8373362900,1.2843760600,0.4099648500,1.2235683200,-3.6552235100,0.02
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1692227200,38805.3859469400,1.6854585200,0.5741387700,0.1088700600,1.7110809000,4.5083003300,0.02
47,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries,1454701706,42752.8925089600,1.8569130300,0.7130669900,0.1309233000,1.0751992900,1.4112058100,0.02
48,VBL,Varun Beverages Ltd.,Other Beverages,6763922538,65060.1173492300,2.8257966400,1.0086661200,0.1426999100,1.4864694900,2.5338017700,0.03
49,VEDL,Vedanta Ltd.,Diversified Metals,3910388057,88983.4384129000,3.8648731600,1.6006671800,0.3785850700,1.5677658400,6.5748151100,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals,1006233990,23476.2776827300,1.0196598000,0.9374486300,0.2294438300,1.0755417300,-3.2787726400,0.02
,,,,,2302363.7475369300,,,,,,0.02
