Annexure II- Nifty Next 50 Index : Oct 2020,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,8126.88,1.07,0.48,0.17,0.86,-7.21,0.05
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,33485.55,4.41,0.55,0.09,3.09,16.11,1.19
4,ADANITRANS,Adani Transmission Ltd.,POWER,10998100830,7977.75,1.05,0.65,0.14,1.78,20.00,0.05
5,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,10708.98,1.41,0.22,0.04,0.98,-5.17,0.05
6,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458,19079.87,2.51,0.75,0.38,1.69,19.68,0.03
7,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,21730.82,2.86,0.99,0.24,1.66,-2.99,0.03
8,DMART,Avenue Supermarts Ltd.,MISCELLANEOUS,6477746910,33371.86,4.39,0.61,0.25,2.01,1.67,0.04
9,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,11552.43,1.52,0.85,0.29,1.09,-4.44,0.05
10,BANDHANBNK,Bandhan Bank Ltd.,BANKS,16103449420,19576.80,2.58,1.53,0.33,2.59,6.03,0.03
11,BANKBARODA,Bank of Baroda,BANKS,9241133172,5009.62,0.66,1.00,0.37,3.01,1.58,0.07
12,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971219780,15127.96,1.99,0.66,0.32,1.48,6.74,0.03
13,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460,15786.96,2.08,0.80,0.13,2.40,5.85,0.05
14,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,17919.84,2.36,0.59,0.22,2.21,-9.85,0.04
15,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,9930.34,1.31,0.98,0.43,1.43,-15.44,0.05
16,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,10690.43,1.41,0.44,0.11,2.11,5.73,0.03
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,20213.51,2.66,0.47,0.23,1.75,5.80,0.04
18,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,3046471740,10717.79,1.41,1.01,0.41,1.89,7.11,0.04
19,DLF,DLF Ltd.,CONSTRUCTION,4950630072,9796.06,1.29,1.23,0.51,2.44,3.70,0.04
20,DABUR,Dabur India Ltd.,PERSONAL CARE,1767412426,28926.18,3.81,0.63,0.38,1.28,0.18,0.03
21,GICRE,General Insurance Corporation of India,FINANCE,8772000000,2894.58,0.38,0.64,0.15,1.77,-2.52,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022481485,25150.59,3.31,0.66,0.28,1.56,-8.30,0.04
23,HDFCAMC,HDFC Asset Management Company Ltd.,FINANCE,1064312830,11974.58,1.58,0.77,0.34,1.20,-0.87,0.03
24,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,626013006,18226.99,2.40,0.65,0.33,1.32,7.38,0.03
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250,14011.32,1.85,0.87,0.31,2.57,3.87,0.04
26,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,5154.04,0.68,0.59,0.18,3.55,-3.17,0.05
27,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCE,4544919540,26964.10,3.55,0.90,0.40,1.70,-4.89,0.05
28,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCE,14358869910,15637.46,2.06,1.25,0.49,1.41,-4.17,0.05
29,IGL,Indraprastha Gas Ltd.,GAS,1400001600,14078.77,1.85,0.74,0.34,1.88,3.99,0.03
30,NAUKRI,Info Edge (India) Ltd.,COMPUTERS - SOFTWARE,1285841200,26923.98,3.55,0.82,0.26,2.65,-2.36,0.04
31,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3847962790,12597.27,1.66,0.65,0.17,1.82,4.84,0.04
32,LTI,Larsen & Toubro Infotech Ltd.,COMPUTERS - SOFTWARE,174543281,12225.71,1.61,0.71,0.27,3.85,14.74,0.05
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,906308072,21837.61,2.88,0.32,0.06,1.72,-9.74,0.03
34,MARICO,Marico Ltd.,PERSONAL CARE,1291219208,18420.53,2.43,0.47,0.23,1.49,-1.75,0.03
35,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,3157934237,12672.16,1.67,1.36,0.40,2.44,-8.05,0.04
36,MUTHOOTFIN,Muthoot Finance Ltd.,FINANCE,4010785360,13328.48,1.76,1.22,0.44,2.18,8.72,0.04
37,NMDC,NMDC Ltd.,MINING,3061849659,7573.49,1.00,0.91,0.30,1.46,0.24,0.05
38,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,429910515,7297.92,0.96,0.58,0.20,1.67,2.31,0.04
39,PETRONET,Petronet LNG Ltd.,GAS,15000000880,17321.25,2.28,0.63,0.28,1.93,4.67,0.04
40,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508131980,23939.11,3.15,0.63,0.33,1.83,9.49,0.03
41,PEL,Piramal Enterprises Ltd.,FINANCE,451076712,14234.29,1.87,1.06,0.28,2.35,0.70,0.03
42,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,10117.85,1.33,1.02,0.41,1.62,1.04,0.05
43,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,9599.16,1.26,0.27,0.11,0.67,2.52,0.06
44,PNB,Punjab National Bank,BANKS,18821258630,3524.28,0.46,0.74,0.26,1.66,-6.30,0.09
45,SBICARD,SBI Cards and Payment Services Ltd.,FINANCE,9389567940,11263.96,1.48,0.90,0.36,2.10,-5.65,0.04
46,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,11286.79,1.49,0.77,0.47,1.14,0.26,0.03
47,TATACONSUM,Tata Consumer Products Ltd.,TEA AND COFFEE,921551715,29522.14,3.89,0.96,0.43,2.10,-1.42,0.03
48,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,12596.71,1.66,0.38,0.09,1.49,-8.33,0.03
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,10285.47,1.35,0.60,0.30,1.33,-3.15,0.04
50,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,15024.20,1.98,0.74,0.32,1.34,-2.24,0.03
,,,,,,,,,,,
,,,,,745414.41,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2019 to 30-Oct-2020,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2019 to 30-Oct-2020,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Oct-2020,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
