Annexure II-  Nifty Next 50 Index : October 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Basic Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,Heavy Electrical Equipment,423816750,27301.73043,1.1734035,1.20814218,0.26034032,0.90552603,0.70804314,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,Power Distribution,12012826420,34116.7775,1.46630801,1.52050006,0.15080762,1.68662731,13.06391516,0.03
3,ADANIGREEN,Adani Green Energy Ltd.,Power Generation,16225962350,34802.30402,1.49577132,1.50329006,0.11861425,2.69809362,11.01913619,0.09
4,ADANIPOWER,Adani Power Ltd.,Integrated Power Utilities,38569389410,61955.43139,2.66278799,1.15848146,0.0793037,2.47959264,9.12547529,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,4943646956,35288.05808,1.51664858,1.04811797,0.24623204,0.96081566,-0.79831564,0.02
6,DMART,Avenue Supermarts Ltd.,Diversified Retail,6507330680,60965.61421,2.62024655,0.68980158,0.0941467,1.04672745,-7.19265317,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Holding Company,1112935100,53119.41228,2.28302394,1.13857453,0.15643409,1.55054097,0.45725484,0.04
8,BAJAJHFL,Bajaj Housing Finance Ltd.,Housing Finance Company,83323346190,10235.53718,0.43991406,0.96828458,0.20153821,0.95670081,0.18180165,0.03
9,BANKBARODA,Bank of Baroda,Public Sector Bank,10342724358,51251.70579,2.20275161,1.03207173,0.2285647,1.31318744,7.68159666,0.03
10,BPCL,Bharat Petroleum Corporation Ltd.,Refineries & Marketing,43385054880,68967.25241,2.96414967,1.00295661,0.23825769,1.4084713,5.04931547,0.02
11,BOSCHLTD,Bosch Ltd.,Auto Components & Equipments,294936400,32211.2602,1.38441061,0.83854291,0.21204022,0.98009671,-2.35941801,0.02
12,BRITANNIA,Britannia Industries Ltd.,Packaged Foods,240868296,68637.01231,2.94995625,0.5088938,0.08956488,1.05455135,-2.5788683,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,Heavy Electrical Equipment,3149362018,50427.1476,2.16731285,1.43027872,0.25971664,1.31922222,-0.58033606,0.02
14,CANBK,Canara Bank,Public Sector Bank,18141302520,46056.79187,1.97947895,1.10571499,0.22033278,1.5085834,10.73478296,0.03
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Non Banking Financial Company (NBFC),1682798064,71313.05235,3.06497001,1.33458243,0.25743456,1.59044689,5.33896201,0.02
16,DLF,DLF Ltd.,"Residential, Commercial Projects",4950630072,48378.10782,2.07924699,1.6888127,0.49066561,1.0705488,6.06591865,0.02
17,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals,530937160,85348.58612,3.66820446,0.75536762,0.126174,1.70384081,18.42868442,0.02
18,GAIL,GAIL (India) Ltd.,Gas Transmission/Marketing,65750996440,49160.48428,2.11287282,1.26089759,0.30572989,1.29048015,3.67008906,0.02
19,GODREJCP,Godrej Consumer Products Ltd.,Personal Care,1023074343,44872.01042,1.92855812,0.53231889,0.07074311,0.81818046,-4.13917217,0.03
20,HAVELLS,Havells India Ltd.,Consumer Electronics,627206421,37558.89681,1.61424716,0.8471641,0.20504783,0.91319242,-0.53928096,0.02
