Annexure II- CNX Nifty Jr. Index : September 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301193130,8787.90,1.86,1.14,0.27,2.22,11.47,0.09
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,12942.02,2.74,1.60,0.16,1.63,-1.71,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,14363.57,3.05,1.53,0.24,2.23,-1.87,0.09
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8544.53,1.81,0.51,0.06,2.09,-4.47,0.09
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291457021,12885.60,2.73,0.17,0.00,3.15,18.43,0.06
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,6743.05,1.43,0.60,0.10,1.99,7.25,0.13
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8546.22,1.81,0.30,0.03,1.32,4.30,0.12
8,BANKINDIA,Bank of India,BANKS,6422630130,4962.37,1.05,2.33,0.35,2.98,-16.38,0.08
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,10206.98,2.16,0.94,0.14,2.63,3.99,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,13587.56,2.88,0.30,0.03,0.91,1.38,0.10
11,CANBK,Canara Bank,BANKS,4612588370,5017.87,1.06,2.29,0.40,2.71,-7.21,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,11611.74,2.46,0.31,0.04,1.61,13.44,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10083.86,2.14,0.92,0.18,1.96,2.51,0.15
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,7225.42,1.53,1.80,0.25,2.76,3.26,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,9114.70,1.93,0.79,0.14,0.94,-2.86,0.09
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756248783,12422.16,2.63,0.28,0.03,0.99,-4.49,0.06
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,11450.88,2.43,0.26,0.02,1.71,15.06,0.08
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7785.40,1.65,0.94,0.17,2.23,4.11,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712577390,10776.39,2.29,1.65,0.32,1.93,4.22,0.10
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5985.86,1.27,0.02,0.00,1.25,13.59,0.09
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271254103,10125.07,2.15,0.21,0.01,2.11,0.68,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340442967,12351.18,2.62,0.62,0.06,2.93,0.27,0.14
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6529.34,1.38,0.46,0.07,2.16,5.70,0.10
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,7982.02,1.69,1.64,0.28,2.47,5.27,0.07
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35961547440,17414.01,3.69,0.87,0.12,2.28,2.59,0.07
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18901889870,10168.80,2.16,0.36,0.02,3.01,11.84,0.10
27,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1901080980,6455.41,1.37,0.77,0.18,1.25,-5.28,0.14
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,12983.41,2.75,1.20,0.24,2.67,-7.04,0.08
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,9804.73,2.08,1.57,0.42,2.09,7.55,0.06
30,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7456.12,1.58,0.96,0.12,1.69,-2.04,0.09
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,12006.14,2.55,0.38,0.02,2.74,6.37,0.07
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420783005,7257.01,1.54,0.38,0.04,3.19,-4.64,0.07
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,8581.45,1.82,0.99,0.25,1.47,-1.10,0.07
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5640.00,1.20,0.68,0.08,2.26,2.12,0.09
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,8424.14,1.79,2.17,0.33,2.60,-6.20,0.08
36,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2120066695,9926.24,2.10,0.57,0.04,2.19,-0.16,0.07
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12011565390,9929.74,2.11,1.51,0.30,2.41,-14.66,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,8480.58,1.80,1.79,0.30,3.01,-6.86,0.09
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5129.54,1.09,1.97,0.40,2.25,-13.89,0.07
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,4933.16,1.05,1.68,0.39,2.89,-5.70,0.10
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5750.58,1.22,1.43,0.25,2.33,-14.13,0.09
42,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,7364.11,1.56,1.71,0.38,2.35,4.14,0.08
43,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15642.09,3.32,1.33,0.22,2.27,3.11,0.10
44,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7014.68,1.49,0.90,0.18,2.05,5.96,0.09
45,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6394.96,1.36,1.00,0.21,2.17,5.88,0.08
46,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,17002.47,3.61,0.69,0.10,1.95,12.26,0.10
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4741.49,1.01,0.58,0.08,1.55,0.71,0.08
48,UNIONBANK,Union Bank of India,BANKS,6303062730,4745.20,1.01,2.38,0.39,3.22,-9.62,0.09
49,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,10231.29,2.17,0.81,0.07,3.02,7.58,0.10
50,YESBANK,Yes Bank Ltd.,BANKS,4151991980,18047.96,3.83,1.94,0.42,2.64,-2.31,0.07
,,,,,471557.0079,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2013 to 30-Sep-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2014 to 30-Sep-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Sep-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
