rank,symbol,company_name,industry,equity_capital,free_float_market_cap,weight,beta,r2,volatility,monthly_return,impact_cost,report_date,source_file
1,ABB,,Electrical Equipment,423816750.0,23732.0,,0.86,0.48,3.14,,0.15,2008-01-01,nifty50_jan08.csv
2,ACC,,Cement & Cement Products,1876243140.0,14411.0,,0.89,0.36,3.73,,0.17,2008-01-01,nifty50_jan08.csv
3,BAJAJAUTO,,Automobiles - 2 and 3 wheelers,1011835100.0,23870.0,,0.64,0.25,4.75,,0.17,2008-01-01,nifty50_jan08.csv
4,BHARTIARTL,,Telecommunication - Services,18978832460.0,163000.0,,0.89,0.42,3.08,,0.15,2008-01-01,nifty50_jan08.csv
5,BHEL,,Electrical Equipment,4895200000.0,100856.0,,1.1,0.58,3.34,,0.11,2008-01-01,nifty50_jan08.csv
6,BPCL,,Refineries,3615421240.0,13072.0,,0.6,0.15,3.75,,0.21,2008-01-01,nifty50_jan08.csv
7,CIPLA,,Pharmaceuticals,1554582714.0,14710.0,,0.63,0.26,3.26,,0.18,2008-01-01,nifty50_jan08.csv
8,NTPC,,Power,82454644000.0,161652.0,,1.07,0.48,6.08,,0.17,2008-01-01,nifty50_jan08.csv
9,DRREDDY,,Pharmaceuticals,840678260.0,8899.0,,0.47,0.24,3.4,,0.15,2008-01-01,nifty50_jan08.csv
10,GAIL,,Gas,8456516000.0,34448.0,,0.91,0.32,4.58,,0.21,2008-01-01,nifty50_jan08.csv
11,GLAXO,,Pharmaceuticals,847030170.0,6928.0,,0.47,0.18,2.92,,0.18,2008-01-01,nifty50_jan08.csv
12,GRASIM,,Cement & Cement Products,916742100.0,27058.0,,0.82,0.48,3.38,,0.16,2008-01-01,nifty50_jan08.csv
13,AMBUJACEM,,Cement & Cement Products,3043782964.0,18377.0,,0.46,0.17,2.25,,0.21,2008-01-01,nifty50_jan08.csv
14,HCLTECH,,Computers - Software,1328562184.0,16052.0,,0.76,0.32,3.79,,0.25,2008-01-01,nifty50_jan08.csv
15,HDFC,,Finance - Housing,2831772820.0,80397.0,,0.79,0.35,2.88,,0.14,2008-01-01,nifty50_jan08.csv
16,HDFCBANK,,Banks,3542394200.0,55600.0,,0.99,0.5,3.51,,0.13,2008-01-01,nifty50_jan08.csv
17,HEROHONDA,,Automohiles - 2 and 3 wheelers,399375000.0,13830.0,,0.46,0.17,3.59,,0.19,2008-01-01,nifty50_jan08.csv
18,HINDALCO,,Aluminium,1227184962.0,20120.0,,1.1,0.44,5.66,,0.21,2008-01-01,nifty50_jan08.csv
19,HINDUNILVR,,Diversified,2177463355.0,45455.0,,0.63,0.27,4.01,,0.18,2008-01-01,nifty50_jan08.csv
20,CAIRN,,Oil Exploration,17783994200.0,34599.0,,0.87,0.38,4.5,,0.2,2008-01-01,nifty50_jan08.csv
21,ICICIBANK,,Banks,11088831770.0,127189.0,,1.04,0.5,4.5,,0.13,2008-01-01,nifty50_jan08.csv
22,INFOSYSTCH,,Computers - Software,2857980305.0,85685.0,,0.6,0.29,2.72,,0.09,2008-01-01,nifty50_jan08.csv
23,UNITECH,,Construction,3246750000.0,62265.0,,1.38,0.38,7.1,,0.17,2008-01-01,nifty50_jan08.csv
24,ITC,,Cigarettes,3766636600.0,73657.0,,0.65,0.27,3.94,,0.16,2008-01-01,nifty50_jan08.csv
25,RPL,,Refineries,45000000000.0,71460.0,,1.19,0.4,6.84,,0.14,2008-01-01,nifty50_jan08.csv
26,LT,,Engineering,583655258.0,106425.0,,1.07,0.53,3.51,,0.11,2008-01-01,nifty50_jan08.csv
27,MARUTI,,Automobile - 4 wheelers,1444550300.0,24563.0,,0.83,0.44,2.62,,0.18,2008-01-01,nifty50_jan08.csv
28,M&M,,Automobile - 4 wheelers,2457418130.0,16338.0,,0.89,0.45,3.68,,0.2,2008-01-01,nifty50_jan08.csv
29,IDEA,,Telecommunication - Services,26353605390.0,32534.0,,0.79,0.28,4.25,,0.18,2008-01-01,nifty50_jan08.csv
30,NATIONALUM,,Aluminium,6443096280.0,28250.0,,0.74,0.17,4.95,,0.31,2008-01-01,nifty50_jan08.csv
31,ONGC,,Oil Exploration,21388725300.0,211652.0,,1.1,0.61,4.43,,0.16,2008-01-01,nifty50_jan08.csv
32,STER,,Metals,1416971700.0,52857.0,,1.27,0.49,4.01,,0.19,2008-01-01,nifty50_jan08.csv
33,PNB,,Banks,3153025000.0,20380.0,,1.1,0.5,4.69,,0.18,2008-01-01,nifty50_jan08.csv
34,RANBAXY,,Pharmaceuticals,1865768295.0,12989.0,,0.65,0.29,3.13,,0.13,2008-01-01,nifty50_jan08.csv
35,REL,,Power,2365033050.0,46783.0,,1.51,0.49,7.34,,0.16,2008-01-01,nifty50_jan08.csv
36,RELIANCE,,Refineries,14536486010.0,360345.0,,1.09,0.76,4.06,,0.1,2008-01-01,nifty50_jan08.csv
37,SAIL,,Steel & Steel Products,41304005450.0,88721.0,,1.52,0.64,5.93,,0.2,2008-01-01,nifty50_jan08.csv
38,SATYAMCOMP,,Computers - Software,1339341126.0,26298.0,,0.67,0.26,3.1,,0.14,2008-01-01,nifty50_jan08.csv
39,SBIN,,Banks,6315586540.0,136881.0,,1.01,0.5,2.99,,0.12,2008-01-01,nifty50_jan08.csv
40,SIEMENS,,Electrical Equipment,337160200.0,28190.0,,0.9,0.4,3.15,,0.17,2008-01-01,nifty50_jan08.csv
41,SUNPHARMA,,Pharmaceuticals,1007233075.0,22820.0,,0.47,0.16,3.94,,0.2,2008-01-01,nifty50_jan08.csv
42,SUZLON,,Electrical Equipment,2993864800.0,46240.0,,1.05,0.3,4.86,,0.18,2008-01-01,nifty50_jan08.csv
43,TATAPOWER,,Power,2180840100.0,27870.0,,1.19,0.36,6.2,,0.14,2008-01-01,nifty50_jan08.csv
44,RCOM,,Telecommunication - Services,10319995935.0,123623.0,,1.19,0.67,4.5,,0.15,2008-01-01,nifty50_jan08.csv
45,TATAMOTORS,,Automobile - 4 wheelers,3855039540.0,26964.0,,0.83,0.48,3.02,,0.15,2008-01-01,nifty50_jan08.csv
46,TCS,,Computers - Software,978610498.0,85506.0,,0.73,0.42,3.46,,0.14,2008-01-01,nifty50_jan08.csv
47,TATASTEEL,,Steel & Steel Products,7307674270.0,53974.0,,1.1,0.5,3.48,,0.14,2008-01-01,nifty50_jan08.csv
48,VSNL,,Telecommunication - Services,2850000000.0,14816.0,,1.11,0.38,4.44,,0.19,2008-01-01,nifty50_jan08.csv
49,WIPRO,,Computers - Software,2921304188.0,61749.0,,0.72,0.35,2.57,,0.22,2008-01-01,nifty50_jan08.csv
50,ZEEL,,Media & Entertainment,433566765.0,12335.0,,0.98,0.3,3.53,,0.17,2008-01-01,nifty50_jan08.csv
1,ABB,,Electrical Equipment,423816750.0,24482.0,,0.83,0.45,2.8,3.16,0.14,2008-02-01,nifty50_feb08.csv
2,ACC,,Cement & Cement Products,1876327430.0,14935.0,,0.84,0.35,2.56,3.63,0.1,2008-02-01,nifty50_feb08.csv
3,BAJAJAUTO,,Automobiles - 2 and 3 wheelers,1011835100.0,23090.0,,0.62,0.25,3.13,,0.12,2008-02-01,nifty50_feb08.csv
4,BHARTIARTL,,Telecommunication - Services,18978949210.0,156814.0,,0.87,0.44,1.98,,0.1,2008-02-01,nifty50_feb08.csv
5,BHEL,,Electrical Equipment,4895200000.0,111946.0,,1.13,0.58,4.06,11.0,0.1,2008-02-01,nifty50_feb08.csv
6,BPCL,,Refineries,3615421240.0,16804.0,,0.69,0.18,4.33,28.56,0.17,2008-02-01,nifty50_feb08.csv
